NPLV,TST,C
512324,1651.2035,0.033006582
512327,1656.2087,0.044632815
512328,1650.8306,0.058526956
512331,1647.5139,0.034299858
512333,1653.9816,0.041523583
512339,1664.5463,0.028795112
512344,1663.8293,0.028440164
512348,1667.3237,0.053718712
512349,1668.7513,0.039883345
512350,1653.6342,0.12753272
512352,1660.636,0.050639734
512354,1660.0638,0.05544223
512355,1662.3077,0.04919768
512356,1667.0289,0.046291713
512358,1672.1582,0.04904328
512361,1672.427,0.041040298
512362,1679.194,0.05790128
512363,1657.4857,0.039147783
512366,1671.7754,0.05735008
512367,1670.4932,0.05890858
512368,1667.3696,0.059295002
512369,1661.6925,0.03391406
512370,1656.3279,0.049967114
512371,1657.8845,0.0624702
512372,1651.4509,0.044302262
512373,1657.3256,0.046932485
512374,1660.8171,0.049750127
512375,1661.1255,0.048083253
512376,1658.2498,0.04657648
512377,1664.9604,0.06254568
512379,1655.4885,0.024931958
512380,1649.0239,0.044743113
512381,1659.8009,0.03605617
512382,1662.2119,0.033431016
512383,1666.4819,0.038410906
512384,1667.9384,0.04871741
512385,1662.5521,0.034342684
512386,1671.6768,0.054127883
512387,1651.4246,0.13746652
512390,1656.0153,0.04101688
512391,1662.6346,0.04283329
512392,1662.8881,0.028525101
512393,1659.8198,0.048277464
512394,1669.86,0.057130564
512395,1655.6826,0.029995617
512396,1650.3082,0.029881844
512397,1653.9427,0.027838448
512398,1649.8604,0.022133648
512399,1673.2546,0.06264814
512402,1654.1959,0.07893972
512403,1661.3019,0.031894714
512405,1666.661,0.04195055
512407,1670.2607,0.06369592
512408,1668.8779,0.054688606
512409,1667.7538,0.054072745
512410,1667.3489,0.053167313
512411,1666.4404,0.05351498
512412,1664.0778,0.04374385
512413,1666.0466,0.04647682
512414,1666.8473,0.056551006
512415,1669.2676,0.059851944
512416,1664.8208,0.0560762
512417,1668.7275,0.062252697
512418,1662.2297,0.04092905
512419,1661.6808,0.047040787
512420,1664.8613,0.05986929
512421,1664.5117,0.081958026
512422,1653.0671,0.052616976
512423,1649.9845,0.066345416
512424,1657.7614,0.05778705
512425,1661.3899,0.06440695
512426,1658.8193,0.058285248
512427,1664.7083,0.045937657
512428,1654.7274,0.03771668
512430,1646.6647,0.3437269
512431,1658.529,0.05293556
512432,1658.7089,0.0476586
512433,1663.335,0.050034035
512434,1657.1659,0.050909802
512435,1646.6785,0.05159893
512436,1645.8965,0.036614683
512437,1661.5255,0.036588687
512438,1655.7742,0.049421616
512440,1665.467,0.050736528
512442,1653.8844,0.033518314
512443,1667.2435,0.045126654
512444,1654.1204,0.034837876
512448,1652.9889,0.025966369
512449,1649.7932,0.031460673
512450,1658.0579,0.02610784
512451,1653.0491,0.03470342
512452,1655.2421,0.036227643
512453,1649.1741,0.031507045
512454,1652.6886,0.03121166
512455,1655.7915,0.040311664
512456,1654.0479,0.035883915
512461,1667.888,0.037269637
512462,1656.5526,0.030591642
512464,1657.8064,0.041288335
512469,1669.2772,0.046690285
512471,1666.7698,0.032555312
512473,1665.8785,0.07490375
512474,1663.312,0.073251285
512477,1664.5681,0.06451328
512481,1659.4963,0.08353915
512482,1660.3536,0.064981714
512485,1662.9647,0.06680845
512489,1656.2389,0.087721035
512490,1659.7177,0.075043805
512491,1651.8038,0.066304624
512492,1660.3678,0.05066151
512494,1649.9347,0.051057376
512496,1674.5728,0.05460144
512497,1674.1664,0.054566823
512499,1671.658,0.05898299
512500,1674.2686,0.05794107
512501,1670.2703,0.050710276
512502,1666.1548,0.05120004
512503,1667.9185,0.054012984
512504,1672.0966,0.05511301
512505,1667.5134,0.048937164
512506,1664.4435,0.04692778
512507,1668.3616,0.05574372
512508,1662.1974,0.057204194
512509,1668.0406,0.054758683
512511,1667.4934,0.06890351
512512,1673.9739,0.06766964
512513,1675.0588,0.06865306
512514,1668.3894,0.06533979
512515,1672.4128,0.062793925
512516,1670.7919,0.070073344
512517,1665.2842,0.060055718
512518,1653.4901,0.0466496
512519,1658.3972,0.050039884
512520,1656.0103,0.044752553
512521,1659.4683,0.06316631
512522,1645.2853,0.043939922
512523,1663.4178,0.039100345
512524,1641.7933,0.035462294
