NPLV,TST,C
512324,1660.3865,0.052478384
512327,1662.992,0.07832248
512328,1658.4751,0.10928266
512331,1655.7605,0.08524786
512333,1662.4381,0.10997623
512339,1673.0623,0.094507836
512344,1672.488,0.09580759
512348,1670.9769,0.07767206
512349,1670.1799,0.04658088
512350,1655.3997,0.107590616
512352,1666.6345,0.09021944
512354,1666.9915,0.060047787
512355,1668.7184,0.075882114
512356,1670.9078,0.06771225
512358,1676.8677,0.06827482
512361,1682.9688,0.090867236
512362,1685.7495,0.07848868
512363,1664.9553,0.093282804
512366,1677.1045,0.058781102
512367,1675.7612,0.068375565
512368,1671.943,0.05451549
512369,1666.4803,0.045119952
512370,1659.2659,0.061419826
512371,1659.5902,0.056839578
512372,1656.5791,0.056820076
512373,1658.8087,0.04713027
512374,1665.3997,0.06531194
512375,1665.5469,0.071691886
512376,1660.4465,0.055578496
512377,1664.7244,0.057581186
512379,1658.067,0.052009705
512380,1654.4542,0.10003526
512381,1663.2532,0.07062808
512382,1668.3914,0.053270925
512383,1670.5024,0.050663933
512384,1672.989,0.08340862
512385,1666.7837,0.054467887
512386,1679.7852,0.06403907
512387,1654.356,0.18915541
512390,1662.8018,0.0577606
512391,1670.2781,0.07734895
512392,1666.9158,0.053353906
512393,1660.303,0.075294346
512394,1670.8633,0.067005
512395,1661.2981,0.054199673
512396,1651.471,0.051500075
512397,1658.2838,0.051053483
512398,1651.5979,0.051712006
512399,1675.6345,0.0495317
512402,1654.6309,0.07331665
512403,1665.3174,0.049762387
512405,1669.1294,0.050149944
512407,1670.0449,0.09452737
512408,1670.5891,0.04635982
512409,1671.4283,0.061232146
512410,1667.8787,0.057401944
512411,1670.5288,0.082673766
512412,1668.6145,0.05496387
512413,1669.6066,0.056767028
512414,1666.6785,0.06698549
512415,1670.2048,0.0932964
512416,1666.9872,0.07766253
512417,1669.1404,0.07792997
512418,1667.6847,0.052170046
512419,1664.425,0.08361059
512420,1669.8086,0.069254175
512421,1668.9407,0.08005315
512422,1658.3,0.05274647
512423,1651.9807,0.07127671
512424,1664.2893,0.08163025
512425,1663.5084,0.059583
512426,1663.0623,0.0529709
512427,1667.8901,0.049897335
512428,1658.5212,0.05464582
512430,1650.614,0.31417048
512431,1659.636,0.053557757
512432,1660.6069,0.04425771
512433,1665.1663,0.042422358
512434,1655.6934,0.048353516
512435,1648.1683,0.047326457
512436,1648.3772,0.058442
512437,1667.601,0.04903476
512438,1656.7654,0.048519917
512440,1666.8608,0.08677317
512442,1656.378,0.0519849
512443,1673.4678,0.05287727
512444,1652.8771,0.05654658
512448,1652.3064,0.04752031
512449,1648.8615,0.04652863
512450,1663.3634,0.0453543
512451,1656.1538,0.048695818
512452,1661.1501,0.058332395
512453,1654.9497,0.052591927
512454,1658.1832,0.051841453
512455,1661.8737,0.05805224
512456,1658.3103,0.04501266
512461,1670.8201,0.053011782
512462,1656.8926,0.04753454
512464,1657.4938,0.05719594
512469,1671.4075,0.07480344
512471,1668.5054,0.049950026
512473,1667.217,0.071435675
512474,1665.8572,0.09774142
512477,1667.6057,0.057971742
512481,1663.5063,0.10488683
512482,1662.8439,0.07677987
512485,1666.7404,0.07979627
512489,1660.3983,0.107532166
512490,1662.8552,0.059348553
512491,1654.385,0.08149901
512492,1664.3835,0.049376823
512494,1651.9985,0.070270695
512496,1679.993,0.05187176
512497,1677.021,0.052964073
512499,1673.9557,0.051384896
512500,1675.3315,0.05084163
512501,1670.4149,0.057999074
512502,1667.481,0.06398273
512503,1671.7883,0.07445711
512504,1673.0677,0.058479585
512505,1671.7539,0.05691071
512506,1670.3154,0.06616493
512507,1673.134,0.06981404
512508,1669.3451,0.088818595
512509,1669.9375,0.075787485
512511,1669.4476,0.052579638
512512,1676.7988,0.057651676
512513,1675.9309,0.0830229
512514,1670.4553,0.0598166
512515,1674.6014,0.06689077
512516,1673.4275,0.07982403
512517,1672.7599,0.0677118
512518,1658.6572,0.06656727
512519,1660.8464,0.07844653
512520,1661.5284,0.06791077
512521,1664.4917,0.07236052
512522,1650.1644,0.059160225
512523,1666.9185,0.05326357
512524,1645.4214,0.055260465
512525,1666.4132,0.053497326
512526,1673.9918,0.077288456
512527,1659.346,0.08690327
512528,1663.193,0.0823897
512529,1670.0225,0.062084883
512531,1662.3328,0.067955375
512532,1674.721,0.06435534
512533,1663.8969,0.07300308
512534,1667.7563,0.07878969
512535,1668.9075,0.059652753
512536,1672.0895,0.0720778
512537,1670.645,0.06789592
512538,1661.7983,0.07403387
512539,1672.0713,0.07476191
512540,1676.1296,0.06361725
512541,1669.8583,0.08377989
512542,1675.1709,0.068756774
512544,1671.7446,0.056597758
512545,1678.7605,0.064834006
512546,1673.249,0.06588133
512547,1670.865,0.05727581
512548,1671.0686,0.05271699
512549,1670.9678,0.057207007
512550,1674.2982,0.0813867
512551,1668.3466,0.103261754
512552,1665.1177,0.08849633
512553,1664.7043,0.06410403
512554,1667.9519,0.061738856
512555,1672.1184,0.08705608
512556,1666.9629,0.06345257
512557,1671.9824,0.054433726
512558,1666.3752,0.06861518
512559,1658.1777,0.05499158
512560,1669.4353,0.07568606
512561,1659.3672,0.0774137
512562,1674.6697,0.07414615
512563,1655.5376,0.058606196
512564,1660.3624,0.063289315
512566,1666.9521,0.057729438
512567,1664.8208,0.047210068
512568,1668.1995,0.053759318
512569,1664.0466,0.0554514
512570,1658.042,0.06358319
512571,1656.8572,0.07152516
512572,1667.3337,0.0703576
512573,1667.564,0.07162327
512574,1666.219,0.07114861
512575,1656.5079,0.07945898
512576,1654.9763,0.052593894
512577,1660.5665,0.047430295
512578,1660.258,0.054808106
512579,1664.5798,0.06426539
512580,1667.7393,0.04969994
512581,1663.8877,0.04448635
512582,1668.1538,0.05716621
512583,1665.3663,0.059920944
512584,1664.9778,0.055444833
512585,1660.9224,0.052459028
512586,1666.5288,0.04643723
512588,1661.6666,0.055442132
512589,1663.3309,0.05508535
512591,1665.7173,0.07185204
512593,1669.4144,0.048002984
512594,1660.6873,0.091102734
512595,1670.5461,0.08538858
512596,1669.998,0.0780738
512597,1673.1299,0.074006885
512598,1667.9818,0.056943316
512599,1657.3862,0.07981591
512600,1653.598,0.07654746
512602,1658.1167,0.047443867
512603,1668.0039,0.083827615
512604,1668.8511,0.078508824
512605,1661.4814,0.07420376
512606,1666.4731,0.07171281
512607,1661.165,0.05038865
512608,1663.0876,0.06285611
512609,1653.991,0.053827614
512610,1652.2352,0.051735766
512612,1659.1938,0.064516746
512613,1656.3553,0.07489085
512614,1665.3779,0.05719465
512615,1663.7195,0.067608
512617,1660.3789,0.05122386
512619,1649.8694,0.04904233
512621,1663.2842,0.06595905
512626,1662.5714,0.077817515
512627,1663.9629,0.06669867
512628,1658.9973,0.067343004
512629,1670.7468,0.0796632
512630,1663.6433,0.06877729
512631,1668.7273,0.09169838
512632,1667.814,0.07747475
512634,1659.0366,0.055932343
512635,1669.9106,0.08400448
512636,1663.388,0.078216225
512637,1667.8655,0.06014065
512642,1667.2302,0.06176046
512644,1668.5415,0.0487853
512647,1660.9932,0.07058266
512649,1662.2632,0.057844307
512650,1671.4631,0.23482493
512651,1658.0175,0.08758181
512652,1673.0522,0.17386496
512653,1668.2166,0.104295984
512654,1672.0188,0.11766435
512655,1656.9163,0.09340819
512656,1669.6597,0.099292405
512658,1662.6458,0.08994908
512659,1666.6106,0.10337825
512660,1666.8132,0.08646527
512661,1671.6194,0.09542153
512662,1656.7556,0.07086493
512665,1656.8525,0.08332031
512667,1678.9391,0.092863806
512669,1661.1187,0.06796858
512670,1660.6833,0.096596435
512671,1676.7356,0.08305032
512672,1677.1113,0.10147772
512674,1668.0344,0.10487941
512675,1670.0022,0.07847648
512676,1672.3176,0.06731114
512677,1656.6567,0.06507954
512678,1667.8086,0.06411387
512679,1671.2296,0.05805721
512680,1667.2424,0.059705652
512681,1659.2068,0.06561603
512682,1678.1467,0.061248437
512683,1676.9092,0.07784465
512684,1677.0916,0.07823254
512685,1669.9388,0.07114397
512686,1673.4662,0.07226179
512687,1674.9648,0.0634698
512688,1679.1223,0.047049224
512689,1680.1448,0.048873022
512690,1683.1326,0.048629608
512691,1677.9856,0.04638301
512692,1683.019,0.047534738
512693,1679.212,0.054964468
512694,1672.6096,0.04811945
512695,1671.167,0.076141715
512698,1676.0422,0.08461653
512699,1657.2258,0.12623306
512700,1656.0284,0.082548365
512701,1662.7336,0.079896346
512702,1671.1968,0.07394778
512704,1666.6533,0.055782977
512705,1664.3602,0.07803761
512706,1672.425,0.07158466
512707,1665.2272,0.096398935
512708,1663.3228,0.08045551
512709,1679.3334,0.0786071
512710,1675.1343,0.07674982
512711,1680.917,0.07973385
512712,1661.0177,0.09196166
512713,1677.3396,0.07608447
512714,1669.8711,0.07138693
