NPLV,TST,C
512324,1659.9971,0.05641889
512327,1664.0178,0.08055676
512328,1661.7881,0.1223159
512331,1658.8992,0.13223076
512333,1662.1548,0.121810704
512339,1673.979,0.093375936
512344,1672.832,0.10393979
512348,1671.2838,0.094647914
512349,1671.4836,0.046760336
512350,1652.7083,0.15165307
512352,1667.7849,0.101311415
512354,1666.1044,0.07423738
512355,1668.7062,0.061973587
512356,1670.6213,0.0630174
512358,1676.2009,0.0527004
512361,1683.9111,0.093373835
512362,1685.5961,0.09186713
512363,1667.7393,0.10594728
512366,1676.4802,0.06301339
512367,1676.7295,0.08158612
512368,1671.0374,0.07059024
512369,1668.154,0.034258775
512370,1662.0554,0.030080542
512371,1661.5331,0.05599744
512372,1659.3169,0.04065356
512373,1659.5421,0.0017835833
512374,1666.5007,0.062616564
512375,1668.2651,0.064262316
512376,1662.9014,0.049030583
512377,1665.8927,0.042357318
512379,1660.8467,0.04553896
512380,1657.5598,0.10633457
512381,1665.2749,0.059397794
512382,1667.5457,0.048629813
512383,1669.0936,0.03387451
512384,1673.3816,0.08380137
512385,1664.8391,0.044702843
512386,1678.8375,0.060583033
512387,1653.7444,0.19965023
512390,1661.4568,0.05828931
512391,1670.282,0.06765134
512392,1663.7195,0.04039256
512393,1660.7623,0.056522235
512394,1671.1663,0.06409769
512395,1662.1978,0.032349586
512396,1652.4023,0.025087737
512397,1658.3466,0.027815167
512398,1652.6318,0.021022018
512399,1676.3107,0.05890569
512402,1653.0161,0.083257675
512403,1665.8882,0.041041464
512405,1669.4806,0.0405043
512407,1670.9572,0.0906135
512408,1673.9368,0.035031457
512409,1671.5867,0.052016497
512410,1668.5476,0.04655903
512411,1668.553,0.063593164
512412,1667.3541,0.040557966
512413,1670.1619,0.046430565
512414,1666.99,0.055138752
512415,1670.7808,0.08159647
512416,1668.1829,0.082984634
512417,1668.8228,0.06604931
512418,1667.7163,0.025769584
512419,1665.5416,0.05552558
512420,1670.9868,0.06717931
512421,1669.3757,0.095601425
512422,1660.4515,0.05925662
512423,1651.1582,0.06546767
512424,1664.5056,0.06811629
512425,1664.844,0.0652773
512426,1663.13,0.058281977
512427,1665.7065,0.03964993
512428,1660.3137,0.015607195
512430,1648.9558,0.37831536
512431,1660.8013,0.065662146
512432,1662.051,0.032537196
512433,1665.3552,0.046784755
512434,1656.4231,0.04469637
512435,1646.679,0.051311787
512436,1648.8899,0.043911453
512437,1665.4595,0.051213425
512438,1656.101,0.031028735
512440,1669.241,0.11703108
512442,1656.7423,0.042835318
512443,1673.7517,0.06833119
512444,1653.2507,0.06908485
512448,1652.7998,0.022882374
512449,1647.5361,0.02571093
512450,1662.4304,0.04257829
512451,1656.1055,0.034892146
512452,1662.5417,0.054054145
512453,1653.7505,0.032071795
512454,1658.0513,0.04017363
512455,1663.4037,0.05346153
512456,1660.0747,0.019171922
512461,1669.2642,0.049558945
512462,1655.4697,0.035930343
512464,1661.1584,0.041487187
512469,1672.9832,0.08074011
512471,1669.3188,0.023965772
512473,1668.248,0.07195433
512474,1666.7189,0.09093934
512477,1668.3022,0.07000659
512481,1662.4369,0.11028911
512482,1662.4038,0.06931192
512485,1666.5458,0.08698972
512489,1662.0859,0.14610714
512490,1661.9479,0.06021683
