NPLV,TST,C
512324,1646.5492,0.046477463
512327,1652.3059,0.04958576
512328,1643.4546,0.053136136
512331,1644.5835,0.045793675
512333,1652.074,0.049716637
512339,1659.5956,0.051012605
512344,1660.0503,0.04889313
512348,1660.2855,0.12537722
512349,1658.0325,0.051177137
512350,1646.4358,0.17463738
512352,1657.6642,0.057689138
512354,1654.9071,0.06090086
512355,1665.815,0.05028633
512356,1665.2296,0.048238464
512358,1671.023,0.051177137
512361,1661.7812,0.05890339
512362,1670.2322,0.07332163
512363,1653.5717,0.052405804
512366,1670.1443,0.059424944
512367,1669.2017,0.060336158
512368,1666.0563,0.05322741
512369,1658.4933,0.059932843
512370,1652.8969,0.06205801
512371,1647.7616,0.05609656
512372,1644.3427,0.052698962
512373,1654.832,0.061820917
512374,1662.3993,0.05077687
512375,1655.4086,0.05096241
512376,1658.9141,0.05518035
512377,1663.6982,0.05745999
512379,1647.9602,0.05138491
512380,1640.0656,0.059638537
512381,1655.4784,0.04973374
512382,1660.7507,0.056088164
512383,1660.8386,0.059415296
512384,1660.3873,0.06205017
512385,1660.7507,0.052422356
512386,1667.7222,0.050172396
512387,1643.3711,0.16324493
512390,1653.2603,0.054448657
512391,1658.8168,0.06007871
512392,1657.4242,0.052422356
512393,1663.37,0.08005744
512394,1669.2017,0.0713877
512395,1647.5503,0.051893897
512396,1654.773,0.058068037
512397,1651.0088,0.06859615
512398,1652.074,0.05882826
512399,1665.9684,0.052306544
512402,1652.8969,0.061441593
512403,1658.9973,0.04912927
512405,1662.7883,0.051633228
512407,1663.7861,0.0878006
512408,1661.4474,0.05882826
512409,1662.7004,0.06588794
512410,1662.7004,0.06745272
512411,1659.002,0.072002895
512412,1659.8422,0.051633228
512413,1659.7555,0.0662673
512414,1658.9141,0.062155396
512415,1663.6982,0.06938665
512416,1658.2693,0.0876224
512417,1664.7008,0.06209252
512418,1660.436,0.043817572
512419,1662.3335,0.08030003
512420,1667.2052,0.074464455
512421,1653.992,0.1078893
512422,1650.334,0.056204997
512423,1650.0293,0.056445926
512424,1651.7106,0.074825674
512425,1651.8263,0.101420544
512426,1649.4679,0.044991903
512427,1658.7543,0.056088164
512428,1650.029,0.053752705
512430,1629.5294,0.22466381
512431,1653.8826,0.051012605
512432,1652.2324,0.04889313
512433,1657.3827,0.04960284
512434,1656.8535,0.05342269
512435,1644.3215,0.046477463
512436,1641.208,0.046538975
512437,1648.7264,0.04912927
512438,1647.1641,0.05227164
512440,1659.115,0.05099713
512442,1657.3865,0.05097856
512443,1654.6561,0.057481363
512444,1650.587,0.048238464
512448,1648.1913,0.053736135
512449,1648.9021,0.053026427
512450,1651.543,0.047554974
512451,1652.0509,0.053972274
512452,1647.9602,0.055266704
512453,1646.253,0.05438327
512454,1647.4624,0.07259358
512455,1655.2521,0.05715699
512456,1649.8224,0.046218857
512461,1658.2417,0.05799797
512462,1652.8134,0.046706475
512464,1649.7363,0.05431561
512469,1663.283,0.086178325
512471,1661.5353,0.056554575
512473,1662.7883,0.05084017
512474,1654.966,0.10775051
512477,1664.1953,0.05083977
512481,1648.3801,0.08356633
512482,1643.4774,0.0727458
512485,1654.0284,0.07193963
512489,1648.0251,0.06629647
512490,1655.9404,0.0686125
512491,1646.1277,0.05847794
512492,1653.2603,0.07326128
512494,1644.2201,0.0713526
512496,1668.4941,0.059931904
512497,1666.9442,0.08427557
512499,1664.9242,0.06899402
512500,1669.9733,0.06712694
512501,1661.4344,0.06712694
512502,1658.3909,0.06988647
512503,1658.3909,0.08396074
512504,1662.6599,0.065193005
512505,1658.4788,0.06376669
512506,1658.8422,0.065193005
512507,1658.6498,0.079463735
512508,1661.4344,0.060134
512509,1658.7543,0.065193005
512511,1660.0779,0.065193005
512512,1667.2052,0.060134
512513,1667.2931,0.066586204
512514,1665.7828,0.06346113
512515,1667.2052,0.066586204
512516,1667.2052,0.07002418
512517,1664.1593,0.065193005
512518,1651.2638,0.0700057
512519,1651.2638,0.0700057
512520,1649.7423,0.069326304
512521,1655.3733,0.063305706
512522,1648.8142,0.06834305
512523,1657.4242,0.05926968
512524,1643.1323,0.06493014
512525,1662.9783,0.050026048
512526,1659.002,0.06008267
512527,1645.1101,0.07165066
512528,1658.2693,0.067933105
512529,1662.7004,0.06200978
512531,1645.1101,0.06874275
512532,1663.7909,0.076391004
512533,1658.9141,0.07317532
512534,1658.9141,0.06632098
512535,1662.7004,0.06008267
512536,1657.661,0.054280736
512537,1660.9395,0.055007115
512538,1658.9141,0.06532326
512539,1663.6982,0.054700077
512540,1662.7004,0.044967044
512541,1668.3428,0.055949375
512542,1661.7812,0.05614461
512544,1658.3909,0.069148794
512545,1665.5795,0.09187273
512546,1658.7543,0.07257855
512547,1661.5223,0.065193005
512548,1661.6934,0.080435805
512549,1667.2052,0.065193005
512550,1667.2052,0.071750335
512551,1655.09,0.0633514
512552,1646.0006,0.09199903
512553,1650.6228,0.066751234
512554,1664.956,0.07850187
512555,1655.0815,0.05894953
512556,1656.0686,0.07248397
512557,1658.7543,0.065193005
512558,1658.7543,0.065193005
512559,1656.13,0.059359476
512560,1662.7883,0.069326304
512561,1651.2638,0.06281067
512562,1664.5298,0.049606707
512563,1646.842,0.06026331
512564,1649.6381,0.078738146
512566,1654.2024,0.054210678
512567,1652.073,0.06560295
512568,1655.34,0.07257855
512569,1650.7107,0.058385573
512570,1655.45,0.070213474
512571,1647.0623,0.070513315
512572,1653.5984,0.06873878
512573,1650.7107,0.08331702
512574,1655.8285,0.09692829
512575,1646.9866,0.08565918
512576,1635.9081,0.05763679
512577,1652.074,0.052773897
512578,1654.7543,0.05717407
512579,1660.7507,0.080248155
512580,1657.4974,0.052677065
512581,1657.4974,0.055283785
512582,1660.8386,0.059108004
512583,1663.4309,0.06752616
512584,1660.8386,0.071815394
512585,1660.7507,0.07531657
512586,1660.4823,0.054059
512588,1647.9602,0.062692374
512589,1660.8386,0.073449485
512591,1657.5032,0.06406791
512593,1663.7909,0.052115064
512594,1664.9747,0.09106896
512595,1661.8293,0.07029618
512596,1669.2017,0.081109725
512597,1670.2322,0.056987315
512598,1664.7008,0.06329385
512599,1648.2616,0.06040681
512600,1648.3885,0.06395382
512602,1647.4624,0.05861
512603,1668.8453,0.06357248
512604,1671.023,0.05354138
512605,1657.624,0.055475317
512606,1657.1285,0.059932843
512607,1647.9602,0.06034279
512608,1648.1417,0.06207455
512609,1652.074,0.057613935
512610,1655.879,0.07092568
512612,1655.2521,0.05414545
512613,1654.9235,0.0680458
512614,1658.2693,0.061858103
512615,1664.8497,0.06515772
