NPLV,TST,C
512324,1649.6688,0.057407353
512327,1665.6747,0.059847325
512328,1642.2024,0.1076152
512331,1647.192,0.0857923
512333,1660.1808,0.12174785
512339,1655.9419,0.045775026
512344,1666.6759,0.070039734
512348,1667.5829,0.069007054
512349,1664.279,0.026368877
512350,1666.0911,0.11402717
512352,1666.492,0.101805516
512354,1662.041,0.04355397
512355,1674.2003,0.06768029
512356,1667.0748,0.069707416
512358,1680.2218,0.04528942
512361,1674.7483,0.060028303
512362,1674.7543,0.055934787
512363,1654.8947,0.05491621
512366,1673.0526,0.050608873
512367,1677.4167,0.058300283
512368,1671.4943,0.06841134
512369,1655.315,0.049746513
512370,1657.4252,0.06854804
512371,1650.3142,0.05863346
512372,1644.6749,0.052159432
512373,1645.1783,0.04819999
512374,1660.4095,0.076615974
512375,1665.8358,0.08657244
512376,1661.7295,0.07374994
512377,1664.3038,0.060721066
512379,1655.1007,0.03525628
512380,1648.0533,0.22079253
512381,1660.2819,0.04209428
512382,1674.3583,0.02866335
512383,1674.3583,0.043167435
512384,1671.8132,0.060963098
512385,1675.7329,0.067894876
512386,1664.5968,0.057652872
512387,1656.0093,0.1823687
512390,1668.6956,0.0533908
512391,1673.4983,0.09858626
512392,1668.3546,0.05452115
512393,1666.1763,0.10198157
512394,1668.55,0.045759138
512395,1652.8005,0.061330453
512396,1648.1442,0.03170622
512397,1665.8762,0.05055576
512398,1656.8627,0.0377464
512399,1678.8834,0.058791615
512402,1660.7488,0.06670611
512403,1660.3378,0.042541087
512405,1655.1937,0.038237616
512407,1668.0294,0.1348641
512408,1669.0746,0.044724725
512409,1665.8447,0.09229751
512410,1667.156,0.07001703
512411,1668.6852,0.08622997
512412,1668.414,0.038200498
512413,1661.7506,0.058381446
512414,1655.0522,0.07374994
512415,1668.0896,0.085136294
512416,1662.8594,0.090221874
512417,1672.7246,0.06076277
512418,1670.6351,0.04632228
512419,1666.283,0.05364311
512420,1672.9202,0.0549857
512421,1658.0206,0.09840943
512422,1647.8733,0.059313927
512423,1653.4264,0.080021076
512424,1656.8698,0.054270767
512425,1651.9075,0.07825039
512426,1653.681,0.046355437
512427,1674.3583,0.0342376
512428,1651.6847,0.053093538
512430,1646.5565,0.26764056
512431,1654.4005,0.05022503
512432,1654.6935,0.0338874
512433,1666.6365,0.036673594
512434,1655.407,0.033416625
512435,1637.2556,0.046606537
512436,1647.8322,0.03925999
512437,1661.397,0.04759496
512438,1656.3989,0.052798636
512440,1660.2941,0.061447214
512442,1658.8982,0.062189188
512443,1670.8798,0.045167863
512444,1653.1832,0.04978755
512448,1667.831,0.05988578
512449,1650.6288,0.05252335
512450,1654.0706,0.040618774
512451,1647.5713,0.058952425
512452,1648.9244,0.06396983
512453,1648.2814,0.06529275
512454,1649.7449,0.06001176
512455,1658.841,0.053559702
512456,1654.7064,0.054600127
512461,1661.8217,0.041817356
512462,1656.0895,0.033289302
512464,1645.9955,0.05443923
512469,1657.9459,0.06494766
512471,1668.627,0.033448406
512473,1669.2378,0.06285486
512474,1659.0817,0.108130015
512477,1664.2524,0.06358742
512481,1657.6554,0.07953613
512482,1656.0977,0.08660764
512485,1657.8849,0.0636184
512489,1659.3593,0.043296285
512490,1657.5602,0.05195972
512491,1636.6427,0.071723536
512492,1658.8389,0.050478145
512494,1636.012,0.0643912
512496,1671.2052,0.02746751
512497,1655.078,0.040948313
512499,1670.3936,0.04311534
512500,1672.3391,0.027612144
512501,1654.9985,0.041479535
512502,1669.9156,0.067948855
512503,1662.6166,0.05378192
