NPLV,TST,C
512324,1639.153,0.048642114
512327,1668.4777,0.07411369
512328,1645.4288,0.10376821
512331,1657.094,0.11128219
512333,1664.8392,0.084602945
512339,1677.5594,0.12561296
512344,1663.1078,0.10836204
512348,1656.6183,0.09449752
512349,1666.6324,0.046149723
512350,1655.5707,0.13436878
512352,1671.3789,0.09149223
512354,1671.0879,0.05879125
512355,1660.8323,0.061221026
512356,1674.9409,0.06211696
512358,1688.7822,0.056949258
512361,1674.8976,0.10165953
512362,1681.2761,0.0752993
512363,1662.0878,0.09121903
512366,1671.9022,0.055727027
512367,1663.7861,0.06475663
512368,1659.3971,0.061264537
512369,1648.8551,0.046297308
512370,1644.2366,0.09850024
512371,1651.4985,0.042888723
512372,1650.5308,0.054715946
512373,1664.0259,0.023332333
512374,1667.6696,0.0677598
512375,1672.3774,0.07012944
512376,1670.2524,0.062862076
512377,1672.0638,0.04634594
512379,1658.7434,0.06524389
512380,1642.1627,0.10571467
512381,1658.1194,0.07107134
512382,1664.9012,0.05925504
512383,1665.806,0.040008187
512384,1665.0837,0.07600954
512385,1664.9012,0.051021732
512386,1685.3462,0.07003352
512387,1664.1743,0.19002405
512390,1668.5343,0.051021732
512391,1672.5319,0.07731365
512392,1669.5889,0.051021732
512393,1664.9155,0.07709575
512394,1672.0105,0.07026858
512395,1652.8601,0.058601376
512396,1663.3685,0.043103315
512397,1667.8755,0.05652381
512398,1663.4032,0.046407398
512399,1669.7435,0.041401714
512402,1648.2815,0.081085764
512403,1662.3486,0.050961778
512405,1670.682,0.046407398
512407,1675.216,0.11555965
512408,1668.7242,0.036589585
512409,1676.3069,0.054397836
512410,1671.2445,0.05238349
512411,1666.6086,0.06055126
512412,1672.7686,0.07483032
512413,1672.7515,0.049905088
512414,1665.9678,0.0611126
512415,1669.6566,0.08843738
512416,1665.5468,0.088333204
512417,1664.0103,0.102961384
512418,1648.3822,0.0714766
512419,1670.111,0.10965713
512420,1668.6705,0.10325284
512421,1656.7808,0.07807193
512422,1657.3876,0.048309606
512423,1660.1969,0.067636296
512424,1659.051,0.07234542
512425,1652.4261,0.056695007
512426,1656.7318,0.06094756
512427,1668.9108,0.052518986
512428,1655.5752,0.0767497
512430,1651.9584,0.29339868
512431,1656.4512,0.09115181
512432,1658.716,0.034506008
512433,1667.1555,0.041401714
512434,1654.9135,0.054634348
512435,1654.3634,0.041703768
512436,1644.4591,0.039823674
512437,1663.4598,0.05585508
512438,1662.2988,0.045491625
512440,1681.103,0.24777104
512442,1659.9834,0.049215894
512443,1660.0645,0.05121455
512444,1660.2351,0.05798994
512448,1655.9948,0.04136976
512449,1651.7301,0.03902766
512450,1666.0525,0.04655137
512451,1658.0964,0.045781326
512452,1654.8186,0.06287045
512453,1656.9159,0.058744
512454,1659.2528,0.04396542
512455,1665.6201,0.06564335
512456,1660.9415,0.044401646
512461,1658.0497,0.05882407
512462,1655.1322,0.04950305
512464,1653.343,0.090240814
512469,1666.8618,0.08655394
512471,1660.2218,0.045041718
512473,1673.1144,0.055566486
512474,1663.4166,0.08581748
512477,1663.9176,0.054146208
512481,1661.9673,0.10421511
512482,1650.3936,0.07691888
512485,1663.3749,0.081132926
512489,1668.1495,0.11349711
512490,1660.8351,0.05309253
512491,1645.2172,0.09206815
512492,1657.9504,0.052127797
512494,1647.3127,0.07087606
512496,1671.1869,0.047810532
