NPLV,TST,C
512324,1639.153,1.927433
512327,1668.4777,1.431846
512328,1645.4288,1.1918528
512331,1657.094,1.0595944
512333,1664.8392,1.1630217
512339,1677.5594,0.78582674
512344,1663.1078,1.3487186
512348,1656.6183,1.1645793
512349,1666.6324,2.0962996
512350,1655.5707,1.4862748
512352,1671.3789,1.473328
512354,1671.0879,1.4686704
512355,1660.8323,1.3506168
512356,1674.9409,1.4587725
512358,1688.7822,1.3442719
512361,1674.8976,1.3783542
512362,1681.2761,1.4156601
512363,1662.0878,1.1909014
512366,1671.9022,1.7319934
512367,1663.7861,1.4515034
512368,1659.3971,1.4973992
512369,1648.8551,1.7080553
512370,1644.2366,1.2826512
512371,1651.4985,1.739222
512372,1650.5308,1.6500622
512373,1664.0259,2.0788848
512374,1667.6696,1.9233539
512375,1672.3774,1.1109135
512376,1670.2524,1.5465229
512377,1672.0638,1.9313371
512379,1658.7434,1.4908488
512380,1642.1627,1.2138261
512381,1658.1194,1.6311533
512382,1664.9012,1.7523813
512383,1665.806,1.8505236
512384,1665.0837,1.2829485
512385,1664.9012,1.752696
512386,1685.3462,1.6980003
512387,1664.1743,1.0257906
512390,1668.5343,1.623635
512391,1672.5319,1.375257
512392,1669.5889,1.6083643
512393,1664.9155,1.4656427
512394,1672.0105,1.5204949
512395,1652.8601,1.8414251
512396,1663.3685,1.9477185
512397,1667.8755,1.9282417
512398,1663.4032,1.8406163
512399,1669.7435,1.9847105
512402,1648.2815,1.3928419
512403,1662.3486,1.8699133
512405,1670.682,1.9436476
512407,1675.216,1.0914265
512408,1668.7242,2.0603974
512409,1676.3069,1.849806
512410,1671.2445,1.6821791
512411,1666.6086,1.5675194
512412,1672.7686,2.039416
512413,1672.7515,1.7923821
512414,1665.9678,1.5413543
512415,1669.6566,1.391806
512416,1665.5468,1.3479689
512417,1664.0103,1.1077685
512418,1648.3822,1.5416746
512419,1670.111,1.2110142
512420,1668.6705,1.4713211
512421,1656.7808,1.161264
512422,1657.3876,1.8152463
512423,1660.1969,1.4242051
512424,1659.051,1.3287318
512425,1652.4261,1.3337072
512426,1656.7318,1.675525
512427,1668.9108,1.7489356
512428,1655.5752,1.4201355
512430,1651.9584,0.2542368
512431,1656.4512,1.4775788
512432,1658.716,2.133638
512433,1667.1555,1.886342
512434,1654.9135,1.8337944
512435,1654.3634,2.2411864
512436,1644.4591,1.9944593
512437,1663.4598,2.0520945
512438,1662.2988,1.9815232
512440,1681.103,0.39111444
512442,1659.9834,1.8658835
512443,1660.0645,1.7092798
512444,1660.2351,1.5527954
512448,1655.9948,2.0564344
512449,1651.7301,1.906581
512450,1666.0525,2.0421457
512451,1658.0964,1.7835233
512452,1654.8186,1.5097337
512453,1656.9159,1.5544088
512454,1659.2528,2.1042655
512455,1665.6201,1.6075344
512456,1660.9415,2.1197045
512461,1658.0497,1.9421014
512462,1655.1322,1.973497
512464,1653.343,1.4162885
512469,1666.8618,1.4708593
512471,1660.2218,1.9861022
512473,1673.1144,1.803605
512474,1663.4166,1.2707863
512477,1663.9176,1.9040295
512481,1661.9673,1.2601359
512482,1650.3936,1.234069
512485,1663.3749,1.4681345
512489,1668.1495,1.1812676
512490,1660.8351,1.5792797
512491,1645.2172,1.239108
512492,1657.9504,1.8471719
512494,1647.3127,1.6280885
512496,1671.1869,1.7873838
512497,1662.5017,1.81071
512499,1670.2399,1.8883613
512500,1674.7567,1.8440711
512501,1668.2872,1.5866932
512502,1656.1569,1.6708213
512503,1663.6283,1.4334538
512504,1669.68,1.6456149
512505,1677.8698,1.6100613
512506,1666.4707,1.5846927
512507,1670.7758,1.5284866
512508,1669.8849,1.4200429
512509,1664.0187,1.4421544
512511,1671.1173,1.8920441
512512,1675.5139,1.7181125
512513,1673.4158,1.4754734
512514,1665.7999,1.6244515
512515,1668.7665,1.5376456
512516,1667.7509,1.532552
512517,1668.9199,1.5938699
512518,1664.029,1.5687226
512519,1649.8812,1.5762571
512520,1662.0608,1.6523801
512521,1659.662,1.6014395
512522,1657.6443,1.5053953
512523,1660.9255,1.66578
512524,1647.6544,1.2168895
512525,1671.8105,1.8703997
512526,1663.731,1.3297439
512527,1654.6599,1.4852424
512528,1672.5869,1.4271568
512529,1675.3698,1.3991346
512531,1659.5114,1.766717
512532,1666.9316,1.5112542
512533,1673.2802,1.1167883
512534,1669.0399,1.5056416
512535,1671.959,1.7792218
512536,1659.8613,1.4193267
512537,1666.0477,1.6370791
512538,1669.4075,1.7398975
512539,1678.9907,1.7648258
512540,1668.5702,1.248353
512541,1670.7588,1.4759794
512542,1671.9875,1.395459
512544,1670.8342,1.6698054
512545,1673.6504,1.6119348
512546,1659.7393,1.4751769
512547,1666.5012,1.6796985
512548,1668.0947,1.9024714
512549,1673.1132,1.4419585
512550,1665.2249,1.2317023
512551,1664.0419,1.6746067
512552,1651.7888,1.477504
512553,1660.841,1.3085285
512554,1671.2445,1.5644306
512555,1660.8855,1.2723337
512556,1659.0813,1.335565
512557,1664.3785,1.4962523
512558,1655.4196,1.6551349
512559,1649.6875,1.4752882
512560,1673.0944,1.5069318
512561,1655.3013,1.5751734
512562,1673.6631,1.3748798
512563,1653.6279,1.6986148
512564,1643.5642,1.525854
512566,1656.2217,1.6504391
512567,1659.2699,1.8275362
512568,1660.2518,1.5909967
512569,1644.9714,1.7092863
512570,1650.0125,1.6563507
512571,1647.7502,1.5240866
512572,1660.9674,1.5807878
512573,1657.2329,1.4872549
512574,1659.1786,1.2710373
512575,1648.6418,1.5370395
512576,1644.1622,1.1260949
512577,1656.6852,1.401141
512578,1655.4015,1.5429066
512579,1657.472,0.9658101
512580,1664.9338,1.5770121
512581,1656.4309,1.3470653
512582,1669.276,1.5673968
512583,1658.4436,1.5022316
512584,1668.0538,1.4983405
512585,1663.3024,1.4218854
512586,1654.7802,1.9687799
512588,1658.0183,1.4832149
512589,1651.6234,1.4822919
512591,1659.5316,1.2962807
512593,1660.0402,1.930063
512594,1660.3075,1.3423821
512595,1670.6844,1.2971842
512596,1667.9701,1.2830913
512597,1676.3899,1.4512421
512598,1667.8431,1.7273104
512599,1659.0729,1.3838273
512600,1655.3296,1.3682921
512602,1653.7388,1.9664439
512603,1661.1742,1.2137682
512604,1672.9012,1.3808221
512605,1664.4502,1.2157658
512606,1664.0427,1.3740925
512607,1656.7257,1.218003
512608,1647.6095,1.4532228
512609,1654.7781,1.7327622
512610,1653.1278,1.7588428
512612,1656.5172,1.5314096
512613,1654.1556,1.3201984
512614,1663.0095,1.7594101
512615,1648.5382,1.5240992
512617,1657.472,1.5225129
512619,1645.6318,2.1100461
512621,1666.3431,1.5780231
512626,1653.6681,1.2045434
512627,1653.9202,1.2372774
512628,1647.3085,1.4676212
512629,1666.3083,1.3513842
512630,1664.067,1.6854109
512631,1668.1449,1.1222515
512632,1671.457,1.3499784
512634,1658.1721,1.8456722
