NPLV,TST,C
512324,1639.153,0.044116966
512327,1668.4777,0.06801512
512328,1645.4288,0.08246157
512331,1657.094,0.089369155
512333,1664.8392,0.09582869
512339,1677.5594,0.10102886
512344,1663.1078,0.08862405
512348,1656.6183,0.08301559
512349,1666.6324,0.03749174
512350,1655.5707,0.09588105
512352,1671.3789,0.09240487
512354,1671.0879,0.06994542
512355,1660.8323,0.08516643
512356,1674.9409,0.06263533
512358,1688.7822,0.061567567
512361,1674.8976,0.08350057
512362,1681.2761,0.07644211
512363,1662.0878,0.10073018
512366,1671.9022,0.053763777
512367,1663.7861,0.06484466
512368,1659.3971,0.06527828
512369,1648.8551,0.051086426
512370,1644.2366,0.085643455
512371,1651.4985,0.061425142
512372,1650.5308,0.06723774
512373,1664.0259,0.037161026
512374,1667.6696,0.0607029
512375,1672.3774,0.07388443
512376,1670.2524,0.06258077
512377,1672.0638,0.048547756
512379,1658.7434,0.057736278
512380,1642.1627,0.08059298
512381,1658.1194,0.053010482
512382,1664.9012,0.048714824
512383,1665.806,0.04365665
512384,1665.0837,0.07558704
512385,1664.9012,0.060501184
512386,1685.3462,0.0597481
512387,1664.1743,0.103970625
512390,1668.5343,0.068287395
512391,1672.5319,0.07232239
512392,1669.5889,0.06297603
512393,1664.9155,0.07489573
512394,1672.0105,0.067918785
512395,1652.8601,0.05038797
512396,1663.3685,0.046383057
512397,1667.8755,0.05190334
512398,1663.4032,0.051959887
512399,1669.7435,0.04424267
512402,1648.2815,0.07756114
512403,1662.3486,0.05066458
512405,1670.682,0.035587642
512407,1675.216,0.089791566
512408,1668.7242,0.0394528
512409,1676.3069,0.055660862
512410,1671.2445,0.054146606
512411,1666.6086,0.06098085
512412,1672.7686,0.040757585
512413,1672.7515,0.040174365
512414,1665.9678,0.05826699
512415,1669.6566,0.06662776
512416,1665.5468,0.071074136
512417,1664.0103,0.07912965
512418,1648.3822,0.060272194
512419,1670.111,0.09582327
512420,1668.6705,0.06961728
512421,1656.7808,0.075292245
512422,1657.3876,0.03965493
512423,1660.1969,0.07120214
512424,1659.051,0.07173272
512425,1652.4261,0.07055561
512426,1656.7318,0.054952327
512427,1668.9108,0.0525857
512428,1655.5752,0.09382106
512430,1651.9584,0.27999535
512431,1656.4512,0.06396691
512432,1658.716,0.039261162
512433,1667.1555,0.044407707
512434,1654.9135,0.05381804
512435,1654.3634,0.04349128
512436,1644.4591,0.06652634
512437,1663.4598,0.03673511
512438,1662.2988,0.045727808
512440,1681.103,0.17181566
512442,1659.9834,0.04910617
512443,1660.0645,0.05884126
512444,1660.2351,0.05494735
512448,1655.9948,0.03307542
512449,1651.7301,0.036779832
512450,1666.0525,0.0453564
512451,1658.0964,0.038448393
512452,1654.8186,0.061978634
512453,1656.9159,0.05708709
512454,1659.2528,0.055549115
512455,1665.6201,0.061996132
512456,1660.9415,0.035614006
512461,1658.0497,0.047217466
512462,1655.1322,0.034419235
512464,1653.343,0.055759136
512469,1666.8618,0.069085725
512471,1660.2218,0.041896187
512473,1673.1144,0.04299438
512474,1663.4166,0.07237956
512477,1663.9176,0.040817782
512481,1661.9673,0.0819212
512482,1650.3936,0.071555965
512485,1663.3749,0.073826
512489,1668.1495,0.09054184
512490,1660.8351,0.06558742
512491,1645.2172,0.08021381
512492,1657.9504,0.06024586
512494,1647.3127,0.070517674
512496,1671.1869,0.04767699
512497,1662.5017,0.050803732
512499,1670.2399,0.050323572
512500,1674.7567,0.047710672
512501,1668.2872,0.061059963
512502,1656.1569,0.0738385
512503,1663.6283,0.06611507
512504,1669.68,0.05359497
512505,1677.8698,0.060987506
512506,1666.4707,0.059909943
512507,1670.7758,0.062182892
