NPLV,TST,C
512324,1653.6565,0.045847267
512327,1668.2439,0.055106856
512328,1653.9028,0.085800216
512331,1635.2947,0.09337829
512333,1648.0913,0.14784525
512339,1664.8564,0.07512509
512344,1665.5592,0.07796643
512348,1665.3263,0.068108425
512349,1668.4059,0.037207037
512350,1646.1482,0.15253592
512352,1667.7183,0.080122255
512354,1666.5695,0.056850553
512355,1669.8292,0.06558249
512356,1668.1733,0.06376393
512358,1668.5674,0.06644251
512361,1680.2322,0.07725352
512362,1681.219,0.070442304
512363,1643.585,0.08167344
512366,1672.8363,0.049951527
512367,1673.2396,0.06318312
512368,1674.5728,0.04596346
512369,1667.9043,0.04007154
512370,1656.5647,0.06232853
512371,1657.1227,0.048885018
512372,1647.5933,0.048072103
512373,1662.3375,0.035707403
512374,1666.3347,0.057994153
512375,1662.5975,0.0658028
512376,1658.1782,0.04913094
512377,1669.8807,0.045845903
512379,1666.1455,0.04836416
512380,1636.7203,0.21780151
512381,1669.0322,0.05308066
512382,1673.5577,0.045663442
512383,1671.2053,0.040320516
512384,1669.1505,0.08158517
512385,1664.9185,0.056886602
512386,1670.0616,0.055496603
512387,1649.0223,0.1955406
512390,1660.6022,0.056081664
512391,1670.0693,0.07464515
512392,1661.0524,0.054569397
512393,1662.9845,0.07693785
512394,1671.8821,0.06274852
512395,1657.3259,0.052582365
512396,1660.2107,0.04580147
512397,1658.6361,0.05207479
512398,1659.5945,0.049816396
512399,1672.395,0.043693524
512402,1659.4852,0.07559056
512403,1670.5839,0.046700325
512405,1674.3749,0.041459214
512407,1670.0514,0.08796648
512408,1671.5304,0.038808335
512409,1677.2457,0.053095087
512410,1669.0879,0.054101262
512411,1668.2437,0.06547889
512412,1668.0514,0.048082672
512413,1665.5537,0.05512123
512414,1662.7966,0.05641567
512415,1671.4031,0.07805678
512416,1670.9763,0.06891064
512417,1670.2244,0.1026258
512418,1663.6227,0.05487338
512419,1662.7886,0.074817225
512420,1664.0123,0.06411867
512421,1663.2474,0.0733326
512422,1655.1602,0.048028193
512423,1649.857,0.07074639
512424,1656.0394,0.06863673
512425,1653.3485,0.05772766
512426,1661.0328,0.055292238
512427,1673.4596,0.050213683
512428,1658.3524,0.058254518
512430,1628.255,0.36431956
512431,1658.0006,0.06652286
512432,1665.3265,0.03855174
512433,1669.5228,0.041431595
512434,1655.9968,0.046427842
512435,1640.744,0.039453477
512436,1647.0757,0.042710874
512437,1662.9749,0.047780205
512438,1659.3876,0.042484395
512440,1666.7019,0.19354014
512442,1654.5975,0.045787722
512443,1665.4374,0.049349602
512444,1653.2208,0.0557276
512448,1659.771,0.037022963
512449,1652.8418,0.037346516
512450,1656.8805,0.042290755
512451,1659.3502,0.042911943
512452,1655.3335,0.049929857
512453,1651.1704,0.047449693
512454,1655.6283,0.047264818
512455,1667.0864,0.05305897
512456,1654.2614,0.041430835
512461,1666.0743,0.04798059
512462,1652.4609,0.042096663
512464,1659.9724,0.054479465
512469,1672.4841,0.07508006
512471,1664.0177,0.03703156
512473,1667.0199,0.045777462
512474,1658.955,0.0816343
512477,1666.0507,0.04094815
512481,1663.1667,0.07865121
512482,1659.1636,0.06005361
512485,1664.4,0.06546239
512489,1655.9502,0.08872623
512490,1666.0073,0.05732923
512491,1652.869,0.061907243
512492,1653.2161,0.04830616
512494,1653.4985,0.053705193
512496,1680.532,0.047322277
512497,1675.159,0.05581017
512499,1673.2903,0.0453531
512500,1677.6266,0.043836705
512501,1664.9872,0.06324232
512502,1669.6749,0.0583361
512503,1667.1841,0.07411161
512504,1677.1252,0.05852799
512505,1673.1985,0.06668077
512506,1669.16,0.06149863
512507,1676.8674,0.07044464
512508,1669.0382,0.07540783
512509,1670.3463,0.066543356
512511,1671.9231,0.047915433
512512,1676.0134,0.05673285
512513,1673.7574,0.06387746
512514,1672.2836,0.05715494
512515,1673.216,0.05767874
512516,1669.4271,0.07145679
512517,1673.4077,0.058526177
512518,1659.61,0.05709071
512519,1657.1506,0.06509999
512520,1667.0645,0.056742925
512521,1672.1016,0.059076585
512522,1654.0076,0.052552722
512523,1669.1151,0.042969007
512524,1650.0436,0.053873215
512525,1665.8097,0.044278126
512526,1670.9933,0.059102114
512527,1662.3109,0.06923784
512528,1663.7361,0.06464396
512529,1669.9843,0.05450866
512531,1660.4722,0.0553127
512532,1677.3557,0.059630495
512533,1663.8479,0.067529164
512534,1665.261,0.06752034
512535,1665.5208,0.048624698
512536,1667.0865,0.06337758
512537,1663.9689,0.057253968
512538,1665.028,0.050229453
512539,1675.4026,0.05926345
512540,1669.4707,0.050372873
512541,1675.8976,0.066293426
512542,1674.1603,0.07067872
512544,1673.2418,0.059670385
512545,1677.5963,0.06819887
512546,1669.2102,0.064465456
512547,1673.7108,0.0608791
512548,1674.0692,0.05017027
512549,1676.331,0.05702352
512550,1677.8014,0.06860586
512551,1642.8059,0.104614235
512552,1659.7736,0.11451484
512553,1664.356,0.07265411
512554,1670.7639,0.052961983
512555,1671.3228,0.065664396
512556,1659.6597,0.07015192
512557,1673.5066,0.060951427
512558,1666.7623,0.063910306
512559,1656.1951,0.053441077
512560,1670.3634,0.06139037
512561,1658.343,0.06348175
512562,1679.6403,0.06605453
512563,1647.1401,0.049998462
512564,1659.424,0.059301075
512566,1666.0394,0.05868131
512567,1660.961,0.04932896
512568,1670.83,0.05145377
512569,1662.5493,0.056269247
512570,1660.0303,0.04829057
512571,1658.5922,0.06416026
512572,1670.7833,0.057821494
512573,1667.1765,0.06813815
512574,1665.0422,0.06620327
512575,1652.9738,0.074959934
512576,1662.5361,0.05472569
512577,1658.8699,0.04297126
512578,1667.2086,0.054275483
512579,1661.5139,0.05916516
512580,1670.5679,0.048598144
512581,1659.9604,0.043016057
512582,1674.3038,0.060389396
512583,1662.7924,0.056297574
512584,1666.9708,0.058143415
512585,1659.2612,0.058012713
512586,1662.0486,0.041635584
512588,1665.209,0.059413865
512589,1659.5392,0.06343963
512591,1666.9088,0.08216831
512593,1671.4681,0.040102392
512594,1671.4945,0.06737668
512595,1671.3074,0.07468036
512596,1673.0936,0.06580186
512597,1673.9607,0.061531674
512598,1671.7941,0.05542709
512599,1657.771,0.06413031
512600,1654.507,0.06390226
512602,1656.8425,0.045324337
512603,1671.1045,0.0718661
512604,1675.5713,0.06368534
512605,1665.2217,0.070981234
512606,1668.9602,0.0678451
512607,1656.8652,0.060789034
512608,1663.73,0.06183959
512609,1654.5319,0.047882814
512610,1656.4215,0.051009394
512612,1662.6241,0.056587398
512613,1662.6012,0.066461846
512614,1666.9695,0.050309107
512615,1650.7938,0.050927967
512617,1657.8927,0.058254253
512619,1647.2114,0.04243215
512621,1668.3878,0.057883244
512626,1667.0538,0.067722015
512627,1649.1312,0.06923315
512628,1660.554,0.05709934
512629,1672.6422,0.07471706
512630,1668.4398,0.05200277
512631,1675.453,0.075036466
512632,1671.8574,0.07108156
512634,1666.3043,0.048901174
512635,1672.8125,0.07216154
512636,1666.37,0.09593467
512637,1671.0952,0.05155385
512642,1675.1798,0.0602234
512644,1668.7688,0.046135906
512647,1665.9274,0.058426425
512649,1663.3928,0.04881216
512650,1623.9001,0.36216024
512651,1663.9962,0.09231941
512652,1673.4336,0.088633984
512653,1672.9059,0.095841646
512654,1673.9069,0.09744494
512655,1637.52,0.088483125
512656,1675.3492,0.081343144
512658,1662.0203,0.07944146
512659,1675.2664,0.08514761
512660,1673.8158,0.078522325
512661,1672.8701,0.075989805
512662,1657.2804,0.06275096
512665,1663.3201,0.06422613
512667,1679.6127,0.07532234
512669,1663.8047,0.068124115
512670,1659.1216,0.0889983
512671,1679.4689,0.070248865
512672,1652.2511,0.0919794
512674,1646.3032,0.10159414
512675,1668.1349,0.06862541
512676,1672.9736,0.06305721
512677,1656.301,0.06146144
512678,1673.4166,0.060525525
512679,1674.87,0.053108685
512680,1669.2062,0.055136204
512681,1661.5188,0.057714835
512682,1669.7957,0.060354102
512683,1674.5198,0.08641091
512684,1651.8201,0.077954516
512685,1647.1656,0.07893477
512686,1676.9761,0.06318704
512687,1672.1041,0.066195175
512688,1676.0453,0.0389038
512689,1670.4304,0.047346182
512690,1669.18,0.04605042
512691,1674.0663,0.037871663
512692,1676.754,0.044954576
512693,1670.6943,0.04175135
512694,1662.876,0.03828243
512695,1667.9459,0.06666777
512698,1650.0969,0.0896943
512699,1647.0574,0.13898544
512700,1660.0416,0.071939096
512701,1666.7239,0.069518164
512702,1670.2523,0.06588176
512704,1667.2648,0.054726437
512705,1664.4023,0.07183965
512706,1669.8444,0.060889814
512707,1659.2192,0.08839079
512708,1660.8644,0.07867501
512709,1677.8824,0.07314367
512710,1678.9684,0.07259138
512711,1679.4432,0.06213539
512712,1659.0859,0.093247965
512713,1670.1783,0.06580713
512714,1670.2854,0.07324378
512715,1666.9304,0.07169071
512716,1668.4363,0.054964356
512718,1669.5284,0.068929575
512719,1668.2189,0.060476724
512720,1671.0833,0.06348637
512721,1671.684,0.0742749
512723,1664.7716,0.051797386
512725,1656.8741,0.06423785
512726,1665.9608,0.062279437
512727,1672.6958,0.07332506
512728,1674.2876,0.08573222
512729,1656.4034,0.06497614
512730,1661.6614,0.08374195
512731,1661.5029,0.10053129
512736,1653.9147,0.04123694
512737,1655.1371,0.039601736
512738,1671.2495,0.037628025
512739,1662.072,0.05669607
512740,1674.4948,0.050026853
512741,1666.4419,0.03920443
512742,1666.7688,0.04943213
512743,1665.6813,0.064289376
512744,1669.7196,0.06316329
512745,1649.2698,0.088800296
512746,1649.1561,0.08996342
512747,1671.912,0.08151169
512748,1660.8475,0.069305755
512749,1676.464,0.077942096
512750,1637.8586,0.09234352
512751,1641.8407,0.08722371
512752,1665.036,0.07516793
512753,1664.6549,0.07059546
512754,1655.9088,0.062250815
512755,1666.101,0.0692618
512756,1667.996,0.081046455
512757,1679.8312,0.0599593
512758,1654.5022,0.05725529
512759,1656.9707,0.07019321
512760,1657.0817,0.0750615
512761,1651.5698,0.06281412
512762,1668.8705,0.055060275
512763,1657.7798,0.0684318
512764,1672.2732,0.060147565
512765,1648.6113,0.058321804
512768,1653.4598,0.051256422
512769,1654.9478,0.04745924
512775,1666.7297,0.04394297
512776,1671.311,0.052349415
512777,1678.3062,0.06319504
512778,1664.6027,0.04187869
512782,1672.4929,0.07371964
512788,1668.69,0.0804669
512793,1665.1753,0.065695494
512796,1668.5568,0.09034264
512797,1655.0801,0.07274279
512799,1675.3414,0.06352448
512800,1666.8616,0.07596287
512801,1667.4886,0.093600295
512802,1667.8606,0.0732181
512803,1671.7235,0.07985705
512804,1656.0059,0.06479153
512805,1672.4558,0.28133267
512806,1659.2087,0.0628155
512807,1670.4955,0.07342308
512813,1671.3469,0.07079057
512814,1672.4402,0.07186338
512815,1665.407,0.0715488
512819,1653.0898,0.11500765
512821,1668.9865,0.07701214
512823,1673.1615,0.05280891
512824,1673.2858,0.063328825
512825,1671.6144,0.07675116
512826,1640.9235,0.08168451
512829,1639.0568,0.44796145
512830,1676.237,0.1018654
512832,1648.6857,0.41943136
512833,1672.1553,0.08259593
512834,1648.0177,0.35288602
512836,1668.836,0.08627464
512838,1669.1292,0.071110256
512839,1660.4307,0.06186528
512840,1660.2483,0.055261027
512841,1657.5154,0.06925088
512842,1667.889,0.07042548
512843,1668.3063,0.041712247
512844,1662.9746,0.043087363
512845,1654.9728,0.058432817
512846,1664.6506,0.06587141
512847,1657.876,0.049508013
512849,1667.2738,0.048681803
512850,1657.2988,0.048207376
512851,1662.9462,0.0533543
512852,1653.1744,0.08060019
512853,1656.8616,0.0965603
512854,1667.6821,0.045113426
512855,1673.8448,0.0653196
512856,1672.6421,0.08913253
512857,1677.1703,0.12767757
512858,1667.0532,0.06601945
512859,1676.117,0.072518155
512861,1674.9867,0.05711516
512862,1667.4867,0.04708174
512863,1673.9165,0.050080683
512864,1665.1571,0.046274677
512865,1663.343,0.052253596
512866,1670.3275,0.051993567
512867,1666.282,0.055310484
512868,1671.5469,0.046366185
512869,1645.7113,0.044596028
512870,1657.3884,0.0622367
512871,1635.0684,0.08446558
512872,1632.9604,0.105740726
512873,1653.222,0.048830643
512874,1663.9507,0.08779354
512876,1649.688,0.04566454
512878,1668.5359,0.044923365
512882,1654.4773,0.06796119
512884,1674.4879,0.068749376
512885,1672.3882,0.07218384
512887,1668.5505,0.066537805
512888,1665.2924,0.07125156
512891,1674.947,0.09136123
512892,1671.1381,0.087337725
512893,1678.0219,0.062250055
512894,1650.4897,0.08328278
512897,1658.2214,0.061053265
512898,1646.7882,0.09897232
512899,1663.1832,0.06176627
512900,1676.1039,0.047603536
512901,1659.8354,0.04575276
512902,1653.5322,0.039552208
512903,1674.677,0.044835333
512904,1676.2684,0.08169493
512905,1670.9636,0.056930333
512906,1668.1646,0.044309944
512907,1673.3612,0.07967348
512909,1658.6742,0.06806515
512910,1681.5574,0.047864404
512911,1677.3062,0.042513434
512913,1672.3914,0.05468501
512914,1673.2415,0.05483062
512915,1660.516,0.03054345
512917,1662.4647,0.058701124
512918,1667.74,0.049602922
512919,1668.447,0.06708125
512923,1660.9595,0.066362046
512925,1653.5867,0.081306785
512929,1666.6602,0.0638826
512931,1661.6542,0.050414663
512933,1668.1112,0.075478815
512934,1676.268,0.049157336
512935,1676.7576,0.06191427
512936,1674.1003,0.058318093
512937,1661.9907,0.056242798
512938,1673.0455,0.074137464
512939,1675.0804,0.1116015
512940,1666.0793,0.046867847
512942,1668.6387,0.06720585
512943,1671.6943,0.13095556
512945,1676.5032,0.08512415
512946,1675.6512,0.052244477
512947,1668.4636,0.048563283
512949,1666.3148,0.071784936
512951,1651.9092,0.03783476
512952,1665.7858,0.052984502
512953,1662.3921,0.06086247
512954,1659.3956,0.0707651
512955,1665.4349,0.037076175
512958,1672.5654,0.07796797
