NPLV,TST,C
512324,1639.153,-3.120911
512327,1668.4777,-2.6880252
512328,1645.4288,-2.4954228
512331,1657.094,-2.4149797
512333,1664.8392,-2.3451931
512339,1677.5594,-2.292349
512344,1663.1078,-2.423352
512348,1656.6183,-2.4887269
512349,1666.6324,-3.2836347
512350,1655.5707,-2.344647
512352,1671.3789,-2.3815756
512354,1671.0879,-2.6600401
512355,1660.8323,-2.4631479
512356,1674.9409,-2.7704258
512358,1688.7822,-2.78762
512361,1674.8976,-2.4829018
512362,1681.2761,-2.5712216
512363,1662.0878,-2.2953098
512366,1671.9022,-2.9231553
512367,1663.7861,-2.7357607
512368,1659.3971,-2.729096
512369,1648.8551,-2.9742365
512370,1644.2366,-2.4575624
512371,1651.4985,-2.789936
512372,1650.5308,-2.6995206
512373,1664.0259,-3.2924948
512374,1667.6696,-2.8017638
512375,1672.3774,-2.6052532
512376,1670.2524,-2.7712972
512377,1672.0638,-3.0252073
512379,1658.7434,-2.8518696
512380,1642.1627,-2.5183437
512381,1658.1194,-2.9372656
512382,1664.9012,-3.021772
512383,1665.806,-3.1313996
512384,1665.0837,-2.5824704
512385,1664.9012,-2.8050923
512386,1685.3462,-2.817618
512387,1664.1743,-2.2636468
512390,1668.5343,-2.68403
512391,1672.5319,-2.6266215
512392,1669.5889,-2.765001
512393,1664.9155,-2.5916584
512394,1672.0105,-2.6894426
512395,1652.8601,-2.9880028
512396,1663.3685,-3.070821
512397,1667.8755,-2.958372
512398,1663.4032,-2.9572833
512399,1669.7435,-3.1180656
512402,1648.2815,-2.5566888
512403,1662.3486,-2.9825282
512405,1670.682,-3.3357568
512407,1675.216,-2.4102643
512408,1668.7242,-3.2326503
512409,1676.3069,-2.888478
512410,1671.2445,-2.91606
512411,1666.6086,-2.7971954
512412,1672.7686,-3.2001133
512413,1672.7515,-3.2145262
512414,1665.9678,-2.8427196
512415,1669.6566,-2.708634
512416,1665.5468,-2.6440318
512417,1664.0103,-2.5366676
512418,1648.3822,-2.8088844
512419,1670.111,-2.3452497
512420,1668.6705,-2.6647425
512421,1656.7808,-2.586378
512422,1657.3876,-3.22754
512423,1660.1969,-2.6422324
512424,1659.051,-2.6348083
512425,1652.4261,-2.651354
512426,1656.7318,-2.9012892
512427,1668.9108,-2.945311
512428,1655.5752,-2.366366
512430,1651.9584,-1.2729822
512431,1656.4512,-2.7493894
512432,1658.716,-3.2375195
512433,1667.1555,-3.1143422
512434,1654.9135,-2.9221466
512435,1654.3634,-3.1351948
512436,1644.4591,-2.7101574
512437,1663.4598,-3.3040223
512438,1662.2988,-3.0850487
512440,1681.103,-1.7613331
512442,1659.9834,-3.0137706
512443,1660.0645,-2.832912
512444,1660.2351,-2.9013798
512448,1655.9948,-3.4089649
512449,1651.7301,-3.3028057
512450,1666.0525,-3.093204
512451,1658.0964,-3.2584383
512452,1654.8186,-2.7809656
512453,1656.9159,-2.8631773
512454,1659.2528,-2.8904877
512455,1665.6201,-2.7806833
512456,1660.9415,-3.3350163
512461,1658.0497,-3.0529914
512462,1655.1322,-3.3691397
512464,1653.343,-2.886714
512469,1666.8618,-2.6724072
512471,1660.2218,-3.1725605
512473,1673.1144,-3.1466858
512474,1663.4166,-2.6258314
512477,1663.9176,-3.1986375
512481,1661.9673,-2.5019975
512482,1650.3936,-2.6372755
512485,1663.3749,-2.6060443
512489,1668.1495,-2.4019432
512490,1660.8351,-2.7243714
512491,1645.2172,-2.5230596
512492,1657.9504,-2.8093214
512494,1647.3127,-2.651892
512496,1671.1869,-3.0433064
512497,1662.5017,-2.9797854
512499,1670.2399,-2.9892817
512500,1674.7567,-3.0426002
512501,1668.2872,-2.795899
512502,1656.1569,-2.605875
512503,1663.6283,-2.7163587
512504,1669.68,-2.9263
512505,1677.8698,-2.7970862
512506,1666.4707,-2.8149128
512507,1670.7758,-2.7776754
512508,1669.8849,-2.6884394
512509,1664.0187,-2.5451436
512511,1671.1173,-2.9652512
512512,1675.5139,-2.9182177
512513,1673.4158,-2.5771427
512514,1665.7999,-2.8773715
512515,1668.7665,-2.7987528
512516,1667.7509,-2.640967
512517,1668.9199,-2.6477408
512518,1664.029,-2.6993132
512519,1649.8812,-2.6086998
512520,1662.0608,-2.7806337
512521,1659.662,-2.8109467
512522,1657.6443,-2.7036984
512523,1660.9255,-2.934182
512524,1647.6544,-2.4397044
512525,1671.8105,-3.069132
512526,1663.731,-2.7967393
512527,1654.6599,-2.5754564
512528,1672.5869,-2.664849
512529,1675.3698,-2.7520661
512531,1659.5114,-2.9447284
512532,1666.9316,-2.6532354
512533,1673.2802,-2.7693493
512534,1669.0399,-2.8025181
512535,1671.959,-3.1191041
512536,1659.8613,-2.6032536
512537,1666.0477,-2.9173157
512538,1669.4075,-3.079689
512539,1678.9907,-2.8175182
512540,1668.5702,-2.768695
512541,1670.7588,-2.655512
512542,1671.9875,-2.662026
512544,1670.8342,-2.8389816
512545,1673.6504,-2.878871
512546,1659.7393,-2.706411
512547,1666.5012,-2.8871837
512548,1668.0947,-3.0374784
512549,1673.1132,-2.8107944
512550,1665.2249,-2.692564
512551,1664.0419,-2.6163566
512552,1651.7888,-2.5535946
512553,1660.841,-2.6987903
512554,1671.2445,-2.7189736
512555,1660.8855,-2.5921378
512556,1659.0813,-2.4843853
512557,1664.3785,-2.9015617
512558,1655.4196,-2.7861533
512559,1649.6875,-2.714421
512560,1673.0944,-2.66257
512561,1655.3013,-2.5991473
512562,1673.6631,-2.5747623
512563,1653.6279,-3.1201987
512564,1643.5642,-2.70494
512566,1656.2217,-2.8130908
512567,1659.2699,-3.0209465
512568,1660.2518,-3.0424972
512569,1644.9714,-3.0438666
512570,1650.0125,-2.87357
512571,1647.7502,-2.6075225
512572,1660.9674,-2.721318
512573,1657.2329,-2.725048
512574,1659.1786,-2.4650822
512575,1648.6418,-2.5249467
512576,1644.1622,-2.4004018
512577,1656.6852,-2.8327146
512578,1655.4015,-2.658763
512579,1657.472,-2.4495268
512580,1664.9338,-2.7503946
512581,1656.4309,-2.5431752
512582,1669.276,-2.768455
512583,1658.4436,-2.6743817
512584,1668.0538,-2.7225304
512585,1663.3024,-2.7512789
512586,1654.7802,-3.065205
512588,1658.0183,-2.7088542
512589,1651.6234,-2.660946
512591,1659.5316,-2.6135402
512593,1660.0402,-3.2208774
512594,1660.3075,-2.5954676
512595,1670.6844,-2.4604275
512596,1667.9701,-2.5669646
512597,1676.3899,-2.721775
512598,1667.8431,-2.9740007
512599,1659.0729,-2.4140294
512600,1655.3296,-2.67941
512602,1653.7388,-3.0732198
512603,1661.1742,-2.5036478
512604,1672.9012,-2.5813942
512605,1664.4502,-2.53979
512606,1664.0427,-2.521923
512607,1656.7257,-2.3364203
512608,1647.6095,-2.6171143
512609,1654.7781,-2.877535
512610,1653.1278,-2.7042062
512612,1656.5172,-2.6749918
512613,1654.1556,-2.61347
512614,1663.0095,-2.9102266
512615,1648.5382,-2.9358022
512617,1657.472,-2.8169646
512619,1645.6318,-3.4182518
512621,1666.3431,-2.6248765
512626,1653.6681,-2.600007
512627,1653.9202,-2.879174
512628,1647.3085,-2.7816935
512629,1666.3083,-2.6393816
512630,1664.067,-2.8201094
512631,1668.1449,-2.4485304
512632,1671.457,-2.6692739
512634,1658.1721,-2.8373253
512635,1664.2028,-2.4452133
512636,1665.4645,-2.4781823
512637,1662.5094,-3.0177302
512642,1662.2996,-2.780947
512644,1654.2385,-3.043952
512647,1663.0471,-2.8185778
512649,1667.5221,-2.9692614
512650,1680.0748,-2.38171
512651,1654.596,-2.278338
512652,1660.7914,-2.2902753
512653,1673.4938,-2.5253837
512654,1672.2588,-2.2013333
512655,1648.9241,-2.3939223
512656,1668.0629,-2.4916532
512658,1657.4312,-2.6549811
512659,1658.246,-2.5144088
512660,1657.5186,-2.7003365
512661,1663.0642,-2.528105
512662,1647.122,-2.8183117
512665,1665.1752,-2.4714127
512667,1676.104,-2.4991307
512669,1660.508,-2.5904226
512670,1663.9863,-2.4409075
512671,1674.5756,-2.6366997
512672,1669.4568,-2.4527602
512674,1659.5215,-2.4508421
512675,1666.2557,-2.4131584
512676,1660.235,-2.6841683
512677,1654.2559,-2.627194
512678,1664.8085,-2.641403
512679,1660.5581,-2.5620995
512680,1660.9083,-2.8193207
512681,1656.3208,-2.6562977
512682,1665.7599,-2.5852382
512683,1673.5289,-2.6205215
512684,1671.3918,-2.358441
512685,1667.9691,-2.2558541
512686,1674.27,-2.5618258
512687,1672.5823,-2.5723157
512688,1668.3157,-3.2648153
512689,1671.3999,-2.9695978
512690,1672.0068,-3.021936
512691,1659.5249,-3.225022
512692,1682.4043,-2.7809339
512693,1668.8992,-3.0880163
512694,1661.9865,-3.1870754
512695,1667.3727,-2.7352114
512698,1670.2313,-2.423493
512699,1658.1147,-2.0725513
512700,1652.7498,-2.4508295
512701,1661.9066,-2.5751483
512702,1672.122,-2.592116
512704,1662.8333,-2.6862726
512705,1662.5674,-2.5305545
512706,1665.4265,-2.6636176
512707,1660.5854,-2.418251
512708,1665.4805,-2.7035904
512709,1670.6984,-2.6368957
512710,1676.045,-2.5933232
512711,1664.9453,-2.5055153
512712,1660.5854,-2.563839
512713,1673.8373,-2.7177727
512714,1667.9894,-2.772625
512715,1665.9783,-2.6571174
512716,1670.0134,-2.8257017
512718,1659.3185,-2.544446
512719,1659.3185,-2.5814745
512720,1664.1831,-2.8020759
512721,1668.0432,-2.5821447
512723,1647.5138,-2.8407862
512725,1658.9354,-2.7360153
512726,1655.318,-2.5156393
512727,1656.9857,-2.4063573
512728,1674.9148,-2.4968448
512729,1656.374,-2.5936334
512730,1654.7357,-2.4130287
512731,1653.9897,-2.3407836
512736,1641.2615,-3.0322502
512737,1644.4945,-3.1444688
512738,1670.1289,-3.2541714
512739,1655.623,-2.8197336
512740,1669.5674,-2.9601283
512741,1670.726,-3.3001723
512742,1669.5674,-2.8336508
512743,1671.8105,-2.4443474
512744,1671.8105,-2.6160765
512745,1675.0021,-2.579184
512746,1661.2672,-2.3322806
512747,1665.817,-2.4694905
512748,1654.3971,-2.782108
512749,1672.1445,-2.5679889
512750,1647.0238,-2.4467056
512751,1655.8401,-2.411268
512752,1666.0897,-2.6837652
512753,1652.4128,-2.6668537
512754,1646.5509,-2.675717
512755,1658.9764,-2.4840226
512756,1656.3005,-2.583332
512757,1679.4054,-2.6974487
512758,1650.8727,-2.8404145
512759,1651.6759,-2.6141932
512760,1653.8207,-2.5495343
512761,1653.1481,-2.5258636
512762,1671.457,-2.6335256
512763,1649.2179,-2.6867294
512764,1661.6359,-2.4687366
512765,1646.7904,-2.7060394
512768,1647.8411,-2.533099
512769,1644.298,-2.8532228
512775,1667.1803,-2.9916344
512776,1681.0525,-2.8944416
512777,1666.9635,-2.7958546
512778,1663.0431,-3.1931968
512782,1666.7527,-2.5447342
512788,1662.376,-2.042612
512793,1657.0892,-2.476107
512796,1670.1449,-2.3827012
512797,1649.9409,-2.5141408
512799,1666.2725,-2.7152271
512800,1661.9304,-2.4569893
512801,1657.3994,-2.260039
512802,1667.4498,-2.5106297
512803,1669.0039,-2.466902
512804,1658.0496,-2.52241
512805,1665.1859,-1.5497152
512806,1649.5605,-2.456032
512807,1657.8838,-2.3721588
512813,1662.8105,-2.44923
512814,1666.2725,-2.462618
512815,1652.144,-2.4165616
512819,1662.7289,-2.4569893
512821,1657.9777,-2.624764
512823,1675.3698,-2.8660073
512824,1669.8608,-2.770708
512825,1658.8761,-2.391901
512826,1655.4901,-2.431939
512829,1632.9176,-1.0028735
512830,1647.0981,-2.0498307
512832,1654.2095,-1.1875184
512833,1655.9955,-2.3904383
512834,1665.1127,-1.5896679
512836,1660.8431,-2.343845
512838,1655.0872,-2.5425887
512839,1660.5763,-2.8483944
512840,1653.4028,-2.589604
512841,1653.6884,-2.5393364
512842,1656.5045,-2.1963909
512843,1656.3761,-3.1868079
512844,1651.0634,-3.0763743
512845,1661.5801,-2.669366
512846,1660.8431,-2.9045627
512847,1658.4669,-3.0657969
512849,1650.7662,-3.0392222
512850,1661.3893,-2.7991824
512851,1661.1237,-2.561411
512852,1654.14,-2.6274242
512853,1655.571,-2.6333294
512854,1666.1097,-3.1578307
512855,1673.8146,-2.7186255
512856,1673.7491,-2.4064121
512857,1689.1675,-1.6198995
512858,1660.508,-2.6231184
512859,1657.4368,-2.7402873
512861,1673.8735,-2.9637728
512862,1664.0555,-3.2455325
512863,1679.15,-2.774527
512864,1651.244,-3.0061574
512865,1654.7781,-3.020441
512866,1668.1453,-3.0293036
512867,1668.5912,-2.8087373
512868,1663.135,-3.0130453
512869,1657.2479,-3.1386404
512870,1663.4471,-2.5961595
512871,1658.5774,-2.6617928
512872,1654.4027,-2.3546145
512873,1646.5146,-2.6658514
512874,1664.4524,-2.2881517
512876,1640.7814,-3.0586228
512878,1665.8785,-3.1385808
512882,1649.9409,-2.5208223
512884,1664.7214,-2.5339007
512885,1666.4368,-2.4300604
512887,1667.4895,-2.5034034
512888,1662.376,-2.170172
512891,1667.5426,-2.3402524
512892,1666.2156,-2.162691
512893,1666.9436,-2.6681514
512894,1656.5214,-2.468837
512897,1649.9409,-2.7239068
512898,1666.3146,-2.3969848
512899,1665.095,-2.6073196
512900,1659.6425,-2.963964
512901,1657.6781,-3.0306964
512902,1658.6166,-3.1627505
512903,1676.4342,-3.0086296
512904,1672.1172,-2.4100556
512905,1649.915,-2.737646
512906,1660.7999,-3.1143327
512907,1663.0205,-2.5924335
512909,1655.9806,-2.4162223
512910,1682.7816,-3.0098433
512911,1660.3767,-3.111053
512913,1668.8456,-2.622331
512914,1663.1326,-2.8168464
512915,1661.2966,-3.3504767
512917,1657.4651,-2.883022
512918,1660.9083,-2.9385705
512919,1651.6257,-2.7194195
512923,1654.1451,-2.7846189
512925,1646.7361,-2.4765353
512929,1658.8135,-2.8152704
512931,1648.3961,-3.1526017
512933,1676.902,-2.8097534
512934,1664.7871,-3.018474
512935,1674.5094,-3.0002635
512936,1667.8905,-2.888195
512937,1658.3154,-2.858756
512938,1670.0686,-2.8001614
512939,1675.4081,-2.348607
512940,1663.1232,-2.867625
512942,1660.508,-2.9166367
512943,1662.0935,-2.217297
512945,1673.9384,-2.646461
512946,1669.3237,-2.923754
512947,1664.0991,-3.0141315
512949,1668.8373,-2.696367
512951,1646.6888,-3.356358
512952,1653.9115,-2.7009084
512953,1664.0823,-2.5715647
512954,1642.8264,-2.7279966
512955,1660.8494,-3.3027887
512958,1667.1969,-2.6419957
512959,1658.4631,-3.0173035
512961,1651.1119,-2.8123055
512962,1655.4988,-2.7933402
512963,1654.6354,-3.062995
512965,1666.1775,-3.3236454
512966,1672.864,-2.9939203
512967,1670.4437,-2.909168
512970,1670.2318,-2.984567
512973,1664.8799,-1.2770144
512974,1646.8977,-2.185623
512975,1659.0112,-2.834334
512976,1663.3824,-2.690504
512977,1664.4614,-2.9101224
512978,1653.6066,-2.9121192
512979,1660.8701,-2.6196203
512980,1659.4879,-1.8683078
512982,1662.2319,-2.8344088
512984,1649.613,-3.137107
512986,1664.5282,-2.9236386
512990,1657.4932,-2.7873569
512991,1657.487,-2.9328218
512992,1661.2545,-2.9750552
512993,1654.9532,-2.9792967
512994,1653.5497,-2.85747
512995,1660.8494,-2.8459094
512999,1657.3785,-2.1602788
513000,1658.0791,-2.6113493
513001,1645.6624,-2.6615193
513002,1638.9785,-2.9321845
513003,1659.1489,-2.4987438
513004,1641.5381,-3.0490987
513005,1647.6249,-2.6185555
513006,1646.6313,-2.550152
513007,1650.8733,-2.700552
513008,1663.9486,-2.4542177
513009,1641.4915,-2.7521625
513010,1648.8225,-2.8412926
513013,1650.3698,-2.7389522
513015,1664.3337,-3.1348472
513016,1645.2394,-2.6007285
513017,1659.9178,-2.965942
513018,1654.4398,-2.6157858
513019,1649.1891,-2.7042596
513020,1638.893,-2.7835777
513021,1653.8567,-2.5473003
513022,1654.8063,-2.6530983
513023,1653.0725,-2.568773
513024,1663.8302,-2.1128173
513025,1661.021,-2.5782545
513028,1655.7866,-2.8521461
513029,1654.2137,-2.8111205
513030,1661.4822,-3.0380816
513034,1654.4397,-2.8585827
513036,1655.8926,-3.0724473
513038,1653.2012,-2.8945594
513042,1665.0154,-2.75684
513047,1647.8628,-3.048373
513049,1658.5405,-2.9234676
513051,1667.3834,-3.052833
513056,1659.4146,-2.743693
513057,1662.1454,-2.8292282
513058,1649.8138,-2.8488972
513059,1659.2831,-2.5303037
513060,1664.5599,-3.1295295
513061,1662.0297,-2.6885586
513062,1675.4835,-2.704739
513064,1670.8615,-2.6507964
513065,1655.8839,-2.9507368
513066,1664.47,-2.173899
513067,1675.207,-2.2104545
513068,1670.972,-2.6909518
513069,1656.3599,-2.6441243
513070,1661.6229,-2.6831555
513072,1655.0088,-2.6615813
513073,1658.5479,-2.6371005
513074,1656.5413,-2.422634
513075,1650.1594,-2.2584238
513078,1653.5546,-2.9380338
513079,1650.0331,-3.091224
513080,1655.043,-2.7446885
513081,1658.3396,-2.573946
513082,1682.5416,-2.5858154
513083,1677.1394,-2.5152407
513084,1661.3801,-2.161777
513085,1638.9255,-2.5666857
513087,1657.4192,-2.647975
513088,1638.8467,-2.718745
513089,1669.9528,-2.421225
513091,1668.9879,-2.7748697
513092,1665.7429,-2.6394367
513093,1660.7065,-2.7701988
513094,1669.0764,-2.6102366
513096,1675.0687,-2.5768251
513097,1669.7096,-2.5972898
513098,1662.0754,-2.720607
513099,1660.8701,-2.5784082
513100,1653.9875,-2.5967338
513101,1658.2302,-2.8070598
513102,1650.0824,-2.964033
513103,1669.2487,-2.724697
513105,1650.6194,-2.635992
513106,1649.9799,-2.6157973
513107,1646.7092,-2.328302
513108,1640.4822,-3.2146356
513109,1642.4137,-2.9128265
513110,1660.9547,-2.744643
513111,1658.5178,-2.7025583
513112,1654.9106,-2.216117
513113,1660.4965,-2.8999891
513114,1651.6176,-2.9419787
513115,1654.9657,-2.7955487
513116,1652.1699,-2.9696765
513117,1656.0732,-2.9234834
513118,1660.2817,-2.9373019
513119,1650.6234,-2.4106202
513120,1649.3907,-2.6049361
513121,1646.5201,-2.6324282
513122,1654.5121,-2.651469
513123,1658.3933,-2.5199583
513124,1652.0776,-2.5759187
513125,1650.9954,-2.2194893
513126,1655.7017,-2.6882818
