NPLV,TST,C
512324,1639.153,9.740085
512327,1668.4777,7.2254796
512328,1645.4288,6.227135
512331,1657.094,5.832127
512333,1664.8392,5.499931
512339,1677.5594,5.254864
512344,1663.1078,5.872635
512348,1656.6183,6.1937613
512349,1666.6324,10.782256
512350,1655.5707,5.4973693
512352,1671.3789,5.671902
512354,1671.0879,7.075814
512355,1660.8323,6.0670977
512356,1674.9409,7.675259
512358,1688.7822,7.770826
512361,1674.8976,6.1648016
512362,1681.2761,6.6111803
512363,1662.0878,5.268447
512366,1671.9022,8.544837
512367,1663.7861,7.4843864
512368,1659.3971,7.4479647
512369,1648.8551,8.846083
512370,1644.2366,6.0396132
512371,1651.4985,7.7837434
512372,1650.5308,7.287411
512373,1664.0259,10.840522
512374,1667.6696,7.84988
512375,1672.3774,6.7873445
512376,1670.2524,7.680088
512377,1672.0638,9.151879
512379,1658.7434,8.133161
512380,1642.1627,6.342055
512381,1658.1194,8.627529
512382,1664.9012,9.131105
512383,1665.806,9.805664
512384,1665.0837,6.6691537
512385,1664.9012,7.868543
512386,1685.3462,7.9389706
512387,1664.1743,5.124097
512390,1668.5343,7.204017
512391,1672.5319,6.8991404
512392,1669.5889,7.645231
512393,1664.9155,6.716693
512394,1672.0105,7.233102
512395,1652.8601,8.928161
512396,1663.3685,9.429942
512397,1667.8755,8.7519655
512398,1663.4032,8.745524
512399,1669.7435,9.722333
512402,1648.2815,6.5366573
512403,1662.3486,8.895474
512405,1670.682,11.127274
512407,1675.216,5.809374
512408,1668.7242,10.450027
512409,1676.3069,8.343306
512410,1671.2445,8.503406
512411,1666.6086,7.824302
512412,1672.7686,10.2407255
512413,1672.7515,10.3331785
512414,1665.9678,8.081055
512415,1669.6566,7.3366976
512416,1665.5468,6.990904
512417,1664.0103,6.4346824
512418,1648.3822,7.8898315
512419,1670.111,5.500196
512420,1668.6705,7.1008525
512421,1656.7808,6.6893516
512422,1657.3876,10.417014
512423,1660.1969,6.9813924
512424,1659.051,6.942215
512425,1652.4261,7.0296783
512426,1656.7318,8.4174795
512427,1668.9108,8.674857
512428,1655.5752,5.5996876
512430,1651.9584,1.6204838
512431,1656.4512,7.559142
512432,1658.716,10.481532
512433,1667.1555,9.699127
512434,1654.9135,8.53894
512435,1654.3634,9.829446
512436,1644.4591,7.344953
512437,1663.4598,10.916563
512438,1662.2988,9.517526
512440,1681.103,3.1022942
512442,1659.9834,9.082813
512443,1660.0645,8.025391
512444,1660.2351,8.418005
512448,1655.9948,11.621041
512449,1651.7301,10.908525
512450,1666.0525,9.567911
512451,1658.0964,10.61742
512452,1654.8186,7.7337694
512453,1656.9159,8.197784
512454,1659.2528,8.354919
512455,1665.6201,7.7321997
512456,1660.9415,11.122334
512461,1658.0497,9.320756
512462,1655.1322,11.351102
512464,1653.343,8.3331175
512469,1666.8618,7.14176
512471,1660.2218,10.06514
512473,1673.1144,9.901631
512474,1663.4166,6.8949904
512477,1663.9176,10.231282
512481,1661.9673,6.259991
512482,1650.3936,6.9552217
512485,1663.3749,6.7914667
512489,1668.1495,5.769331
512490,1660.8351,7.4221997
512491,1645.2172,6.36583
512492,1657.9504,7.892287
512494,1647.3127,7.032531
512496,1671.1869,9.261714
512497,1662.5017,8.879121
512499,1670.2399,8.935804
512500,1674.7567,9.257416
512501,1668.2872,7.817051
512502,1656.1569,6.7905846
512503,1663.6283,7.3786044
512504,1669.68,8.563232
512505,1677.8698,7.8236914
512506,1666.4707,7.923734
512507,1670.7758,7.715481
512508,1669.8849,7.2277064
512509,1664.0187,6.477756
512511,1671.1173,8.792715
512512,1675.5139,8.515994
512513,1673.4158,6.6416645
512514,1665.7999,8.279267
512515,1668.7665,7.8330173
512516,1667.7509,6.974706
512517,1668.9199,7.0105314
512518,1664.029,7.2862916
512519,1649.8812,6.8053145
512520,1662.0608,7.7319236
512521,1659.662,7.9014215
512522,1657.6443,7.309985
512523,1660.9255,8.609424
512524,1647.6544,5.9521575
512525,1671.8105,9.419572
512526,1663.731,7.821751
512527,1654.6599,6.6329756
512528,1672.5869,7.1014204
512529,1675.3698,7.573868
512531,1659.5114,8.671425
512532,1666.9316,7.039658
512533,1673.2802,7.669296
512534,1669.0399,7.854108
512535,1671.959,9.72881
512536,1659.8613,6.7769294
512537,1666.0477,8.510731
512538,1669.4075,9.484485
512539,1678.9907,7.938409
512540,1668.5702,7.665673
512541,1670.7588,7.0517445
512542,1671.9875,7.086382
512544,1670.8342,8.059816
512545,1673.6504,8.287898
512546,1659.7393,7.32466
512547,1666.5012,8.33583
512548,1668.0947,9.226275
512549,1673.1132,7.9005647
512550,1665.2249,7.249901
512551,1664.0419,6.845322
512552,1651.7888,6.5208454
512553,1660.841,7.283469
512554,1671.2445,7.3928175
512555,1660.8855,6.7191787
512556,1659.0813,6.17217
512557,1664.3785,8.419061
512558,1655.4196,7.7626505
512559,1649.6875,7.3680816
512560,1673.0944,7.089279
512561,1655.3013,6.7555666
512562,1673.6631,6.629401
512563,1653.6279,9.735641
512564,1643.5642,7.316701
512566,1656.2217,7.91348
512567,1659.2699,9.126118
512568,1660.2518,9.256789
512569,1644.9714,9.265124
512570,1650.0125,8.257404
512571,1647.7502,6.7991734
512572,1660.9674,7.4055715
512573,1657.2329,7.425887
512574,1659.1786,6.07663
512575,1648.6418,6.3753557
512576,1644.1622,5.761929
512577,1656.6852,8.024272
512578,1655.4015,7.0690203
512579,1657.472,6.0001817
512580,1664.9338,7.5646706
512581,1656.4309,6.46774
512582,1669.276,7.6643434
512583,1658.4436,7.1523175
512584,1668.0538,7.4121714
512585,1663.3024,7.5695353
512586,1654.7802,9.395482
512588,1658.0183,7.337891
512589,1651.6234,7.080633
512591,1659.5316,6.830592
512593,1660.0402,10.374051
512594,1660.3075,6.736452
512595,1670.6844,6.053704
512596,1667.9701,6.5893073
512597,1676.3899,7.4080596
512598,1667.8431,8.84468
512599,1659.0729,5.8275375
512600,1655.3296,7.179238
512602,1653.7388,9.44468
512603,1661.1742,6.2682524
512604,1672.9012,6.663596
512605,1664.4502,6.450533
512606,1664.0427,6.360096
512607,1656.7257,5.45886
512608,1647.6095,6.8492875
512609,1654.7781,8.280209
512610,1653.1278,7.3127313
512612,1656.5172,7.1555815
512613,1654.1556,6.830226
512614,1663.0095,8.469419
512615,1648.5382,8.618935
512617,1657.472,7.93529
512619,1645.6318,11.684445
512621,1666.3431,6.8899765
512626,1653.6681,6.7600365
512627,1653.9202,8.289643
512628,1647.3085,7.7378187
512629,1666.3083,6.9663353
512630,1664.067,7.9530168
512631,1668.1449,5.9953012
512632,1671.457,7.125023
512634,1658.1721,8.050415
512635,1664.2028,5.9790683
512636,1665.4645,6.1413875
512637,1662.5094,9.106696
512642,1662.2996,7.733666
512644,1654.2385,9.265644
512647,1663.0471,7.9443808
512649,1667.5221,8.816513
512650,1680.0748,5.6725426
512651,1654.596,5.190824
512652,1660.7914,5.2453613
512653,1673.4938,6.377563
512654,1672.2588,4.845868
512655,1648.9241,5.730864
512656,1668.0629,6.208336
512658,1657.4312,7.048925
512659,1658.246,6.322252
512660,1657.5186,7.291817
512661,1663.0642,6.391315
512662,1647.122,7.9428806
512665,1665.1752,6.1078806
512667,1676.104,6.2456546
512669,1660.508,6.7102895
512670,1663.9863,5.9580293
512671,1674.5756,6.952185
512672,1669.4568,6.0160327
512674,1659.5215,6.006627
512675,1666.2557,5.8233337
512676,1660.235,7.2047596
512677,1654.2559,6.902148
512678,1664.8085,6.97701
512679,1660.5581,6.5643535
512680,1660.9083,7.9485693
512681,1656.3208,7.0559173
512682,1665.7599,6.6834564
512683,1673.5289,6.867133
512684,1671.3918,5.5622444
512685,1667.9691,5.0888777
512686,1674.27,6.562951
512687,1672.5823,6.616808
512688,1668.3157,10.659019
512689,1671.3999,8.818511
512690,1672.0068,9.132097
512691,1659.5249,10.400767
512692,1682.4043,7.733593
512693,1668.8992,9.535845
512694,1661.9865,10.15745
512695,1667.3727,7.4813814
512698,1670.2313,5.8733177
512699,1658.1147,4.295469
512700,1652.7498,6.006565
512701,1661.9066,6.631389
512702,1672.122,6.719066
512704,1662.8333,7.2160606
512705,1662.5674,6.403706
512706,1665.4265,7.0948586
512707,1660.5854,5.847938
512708,1665.4805,7.309401
512709,1670.6984,6.953219
512710,1676.045,6.7253256
512711,1664.9453,6.277607
512712,1660.5854,6.5732703
512713,1673.8373,7.3862886
512714,1667.9894,7.6874495
512715,1665.9783,7.0602727
512716,1670.0134,7.98459
512718,1659.3185,6.4742055
512719,1659.3185,6.664011
512720,1664.1831,7.8516293
512721,1668.0432,6.6674714
512723,1647.5138,8.070066
512725,1658.9354,7.48578
512726,1655.318,6.328441
512727,1656.9857,5.7905555
512728,1674.9148,6.234234
512729,1656.374,6.7269344
512730,1654.7357,5.8227077
512731,1653.9897,5.479268
512736,1641.2615,9.194541
512737,1644.4945,9.887684
512738,1670.1289,10.589631
512739,1655.623,7.9508977
512740,1669.5674,8.76236
512741,1670.726,10.891137
512742,1669.5674,8.029577
512743,1671.8105,5.974834
512744,1671.8105,6.843856
512745,1675.0021,6.65219
512746,1661.2672,5.4395328
512747,1665.817,6.0983834
512748,1654.3971,7.740125
512749,1672.1445,6.594567
512750,1647.0238,5.986368
512751,1655.8401,5.8142133
512752,1666.0897,7.2025957
512753,1652.4128,7.1121087
512754,1646.5509,7.159462
512755,1658.9764,6.170368
512756,1656.3005,6.6736045
512757,1679.4054,7.27623
512758,1650.8727,8.067955
512759,1651.6759,6.8340063
512760,1653.8207,6.5001254
512761,1653.1481,6.3799872
512762,1671.457,6.935457
512763,1649.2179,7.218515
512764,1661.6359,6.0946608
512765,1646.7904,7.3226495
512768,1647.8411,6.41659
512769,1644.298,8.140881
512775,1667.1803,8.949876
512776,1681.0525,8.377792
512777,1666.9635,7.816803
512778,1663.0431,10.196506
512782,1666.7527,6.4756722
512788,1662.376,4.172264
512793,1657.0892,6.1311054
512796,1670.1449,5.6772647
512797,1649.9409,6.3209043
512799,1666.2725,7.3724585
512800,1661.9304,6.0367966
512801,1657.3994,5.1077766
512802,1667.4498,6.3032613
512803,1669.0039,6.0856056
512804,1658.0496,6.3625517
512805,1665.1859,2.401617
512806,1649.5605,6.0320935
512807,1657.8838,5.627137
512813,1662.8105,5.9987273
512814,1666.2725,6.064488
512815,1652.144,5.83977
512819,1662.7289,6.0367966
512821,1657.9777,6.8893857
512823,1675.3698,8.213998
512824,1669.8608,7.676823
512825,1658.8761,5.7211905
512826,1655.4901,5.9143267
512829,1632.9176,1.0057553
512830,1647.0981,4.2018056
512832,1654.2095,1.4101999
512833,1655.9955,5.7141953
512834,1665.1127,2.527044
512836,1660.8431,5.493609
512838,1655.0872,6.4647574
512839,1660.5763,8.113351
512840,1653.4028,6.7060485
512841,1653.6884,6.44823
512842,1656.5045,4.824133
512843,1656.3761,10.155745
512844,1651.0634,9.464079
512845,1661.5801,7.125514
512846,1660.8431,8.436484
512847,1658.4669,9.399111
512849,1650.7662,9.236872
512850,1661.3893,7.835422
512851,1661.1237,6.560826
512852,1654.14,6.903358
512853,1655.571,6.9344234
512854,1666.1097,9.971895
512855,1673.8146,7.390925
512856,1673.7491,5.790819
512857,1689.1675,2.6240745
512858,1660.508,6.88075
512859,1657.4368,7.5091743
512861,1673.8735,8.783949
512862,1664.0555,10.533482
512863,1679.15,7.6980004
512864,1651.244,9.036983
512865,1654.7781,9.123064
512866,1668.1453,9.17668
512867,1668.5912,7.889005
512868,1663.135,9.078442
512869,1657.2479,9.851064
512870,1663.4471,6.740044
512871,1658.5774,7.0851407
512872,1654.4027,5.5442095
512873,1646.5146,7.1067634
512874,1664.4524,5.2356386
512876,1640.7814,9.355174
512878,1665.8785,9.85069
512882,1649.9409,6.354545
512884,1664.7214,6.420653
512885,1666.4368,5.9051933
512887,1667.4895,6.267029
512888,1662.376,4.709646
512891,1667.5426,5.4767814
512892,1666.2156,4.6772327
512893,1666.9436,7.119032
512894,1656.5214,6.095156
512897,1649.9409,7.419668
512898,1666.3146,5.7455363
512899,1665.095,6.7981153
512900,1659.6425,8.785083
512901,1657.6781,9.185121
512902,1658.6166,10.002991
512903,1676.4342,9.051852
512904,1672.1172,5.808368
512905,1649.915,7.494706
512906,1660.7999,9.699068
512907,1663.0205,6.720711
