NPLV,TST,C
512324,1650.2389,0.05430693
512327,1666.715,0.07183748
512328,1650.2725,0.14513515
512331,1645.9143,0.13405444
512333,1657.3242,0.12793346
512339,1665.3599,0.115146615
512344,1666.191,0.121418566
512348,1663.814,0.0809919
512349,1663.3116,0.04589614
512350,1652.9707,0.1542547
512352,1671.5294,0.09800546
512354,1655.7072,0.07024068
512355,1664.6072,0.065809034
512356,1666.4421,0.06685764
512358,1665.0962,0.06602234
512361,1657.8835,0.12380497
512362,1665.5297,0.08722267
512363,1665.4669,0.18157229
512366,1670.3276,0.05450396
512367,1664.6761,0.07756253
512368,1669.3131,0.059597164
512369,1663.5155,0.045944843
512370,1654.0758,0.091604374
512371,1652.4591,0.048647907
512372,1650.1273,0.06960875
512373,1665.0818,0.0618723
512374,1667.857,0.06416299
512375,1670.1395,0.06308753
512376,1663.0898,0.06303952
512377,1665.031,0.0514584
512379,1666.191,0.06668217
512380,1648.7046,0.14392616
512381,1667.8772,0.058873348
512382,1668.3046,0.055305954
512383,1666.0221,0.047540825
512384,1657.6227,0.09044831
512385,1664.6072,0.060593896
512386,1661.367,0.06036143
512387,1659.2964,0.24708553
512390,1651.6608,0.063647844
512391,1664.1597,0.08398245
512392,1667.464,0.06254076
512393,1668.4927,0.08719595
512394,1661.7992,0.064430095
512395,1671.5294,0.08342584
512396,1667.464,0.049163055
512397,1667.464,0.06651705
512398,1658.3262,0.046712656
512399,1659.3857,0.07206114
512402,1654.1704,0.07227042
512403,1665.4055,0.04190979
512405,1667.464,0.046712656
512407,1666.0221,0.09417534
512408,1661.4761,0.0609679
512409,1672.4349,0.05273249
512410,1672.4349,0.05273249
512411,1669.1754,0.062268656
512412,1663.6844,0.044398054
512413,1666.163,0.054473076
512414,1666.893,0.056421995
512415,1666.8702,0.086627
512416,1659.1436,0.06950896
512417,1662.3152,0.094936304
512418,1658.1799,0.08264817
512419,1658.9269,0.091733284
512420,1657.1077,0.12804511
512421,1654.0122,0.06753941
512422,1654.4288,0.054473076
512423,1652.5316,0.06534429
512424,1663.1654,0.08875578
512425,1652.0767,0.090303265
512426,1659.9269,0.05546938
512427,1658.9183,0.053724077
512428,1664.4658,0.095424786
512430,1654.6122,0.09930881
512431,1664.4885,0.115977
512432,1665.2269,0.046336256
512433,1657.0251,0.07832821
512434,1658.5592,0.047701947
512435,1655.8552,0.04828322
512436,1640.4745,0.06796899
512437,1661.6658,0.053328834
512438,1670.1613,0.04555131
512440,1664.0677,0.1257331
512442,1666.4772,0.054346252
512443,1670.2284,0.06341492
512444,1670.5426,0.073852405
512448,1668.9478,0.037735727
512449,1661.1805,0.042581815
512450,1662.5287,0.051566493
512451,1660.6663,0.04937224
512452,1666.9219,0.06842745
512453,1666.8049,0.061336193
512454,1666.8049,0.055714548
512455,1663.5155,0.05439329
512456,1666.8049,0.072431475
512461,1662.8564,0.06416299
512462,1663.5155,0.04675588
512464,1669.4805,0.10896933
512469,1671.5294,0.09800546
512471,1665.4055,0.04505573
512473,1666.8049,0.058683593
512474,1657.6515,0.06256249
512477,1667.464,0.05154944
512481,1657.1931,0.099495046
512482,1653.4957,0.071312435
512485,1654.5194,0.09212909
512489,1647.9373,0.11349385
512490,1651.166,0.05235844
512491,1647.3374,0.17930551
512492,1644.6896,0.061968666
512494,1645.927,0.057946824
512496,1662.9768,0.0446666
512497,1656.3374,0.06651705
512499,1668.3263,0.05273249
512500,1662.7179,0.05356065
512501,1662.9218,0.06520966
512502,1660.2977,0.083168775
512503,1663.6833,0.09208031
512504,1665.2042,0.071254246
512505,1658.9183,0.071254246
512506,1658.9183,0.082644545
512507,1659.9269,0.06346052
512508,1665.2042,0.0838187
512509,1658.8734,0.077501535
512511,1665.2593,0.047786053
512512,1658.9183,0.056097448
512513,1665.4578,0.07640465
512514,1664.584,0.06004507
512515,1661.4304,0.06280595
512516,1667.3177,0.08193184
512517,1662.3248,0.07107548
512518,1649.8334,0.060753975
512519,1650.2991,0.08249561
512520,1662.7798,0.059666537
512521,1664.6289,0.06588985
512522,1666.4772,0.06328842
512523,1662.3248,0.06568275
512524,1652.0448,0.08079993
512525,1666.4772,0.051343776
512526,1668.8016,0.08655186
512527,1652.9446,0.08765086
512528,1659.8584,0.064865716
512529,1662.4705,0.053844456
512531,1652.2174,0.0494505
512532,1667.0942,0.06660475
512533,1665.8181,0.07107548
512534,1668.2814,0.06934384
512535,1662.1908,0.045106493
512536,1667.8762,0.08739784
512537,1669.3053,0.06591872
512538,1661.5317,0.047115028
512539,1667.2755,0.056097448
512540,1668.8612,0.06373019
512541,1663.5942,0.08725909
512542,1666.2128,0.0838187
512544,1660.4373,0.06275093
512545,1662.5339,0.06004507
512546,1659.297,0.071260296
512547,1661.187,0.057421606
512548,1664.8118,0.05520385
512549,1663.6204,0.06004507
512550,1661.3379,0.08414554
512551,1656.0018,0.10562222
512552,1644.6608,0.09847947
512553,1669.8835,0.097298175
512554,1665.4553,0.06314323
512555,1652.2578,0.0977168
512556,1663.905,0.1124617
512557,1664.0372,0.071089126
512558,1667.1533,0.064888515
512559,1653.0695,0.09099394
512560,1665.4553,0.07466427
512561,1650.674,0.073530935
512562,1664.6002,0.06776993
512563,1653.8563,0.04585216
512564,1650.2466,0.060853194
512566,1658.0778,0.059739254
512567,1658.7145,0.060316436
512568,1665.2593,0.055796683
512569,1666.0186,0.07381126
512570,1656.2063,0.062517494
512571,1656.8236,0.07464416
512572,1663.1729,0.07486516
512573,1661.3379,0.076634206
512574,1659.9269,0.06950896
512575,1647.6254,0.09039261
512576,1653.2446,0.06400429
512577,1666.191,0.060959138
512578,1664.6072,0.06416299
512579,1665.9275,0.081390664
512580,1666.191,0.06004507
512581,1660.2838,0.06733587
512582,1660.9137,0.065939866
512583,1666.191,0.06733587
512584,1659.9052,0.06668217
512585,1659.9052,0.064858355
512586,1663.814,0.059170503
512588,1663.7065,0.06343676
512589,1664.3561,0.07924057
512591,1671.1481,0.08572566
512593,1659.4282,0.043881655
512594,1665.5708,0.09763232
512595,1665.6157,0.08558707
512596,1661.3792,0.07940732
512597,1669.0896,0.06548186
512598,1663.9636,0.049781505
512599,1655.599,0.118089914
512600,1645.771,0.078873
512602,1668.3046,0.04927123
512603,1667.857,0.10627131
512604,1666.4421,0.08545251
512605,1657.6227,0.09428306
512606,1669.3905,0.09532219
512607,1664.3561,0.07107548
512608,1661.979,0.08395334
512609,1659.0646,0.06004507
512610,1662.6748,0.06328842
512612,1667.0942,0.06660475
512613,1654.3838,0.08168625
512614,1661.7845,0.049896833
512615,1652.5594,0.20875923
512617,1662.7197,0.06963737
512619,1641.3937,0.050415862
512621,1659.6042,0.080504954
512626,1662.3666,0.0891749
512627,1660.776,0.11300983
512628,1647.866,0.06305643
512629,1662.8499,0.08544707
512630,1655.8845,0.060903724
