NPLV,TST,C
512324,1665.4169,0.03200324
512327,1670.8573,0.039726358
512328,1647.6243,0.036867965
512331,1637.0051,0.025787981
512333,1663.7086,0.042087417
512339,1682.8296,0.040725254
512344,1692.8777,0.037367944
512348,1693.1404,0.13964461
512349,1691.1768,0.042430323
512350,1678.1664,0.1741175
512352,1670.575,0.047314394
512354,1664.8595,0.07207694
512355,1684.0763,0.03313051
512356,1688.4521,0.044444475
512358,1695.126,0.055692036
512361,1699.8431,0.034805175
512362,1724.3297,0.055025805
512363,1675.3726,0.029227965
512366,1697.6537,0.030425955
512367,1704.612,0.039687485
512368,1688.9153,0.045604054
512369,1686.875,0.04046325
512370,1661.8512,0.049046613
512371,1663.8438,0.05361338
512372,1629.9849,0.048944492
512373,1687.7108,0.039717235
512374,1674.3035,0.01991356
512375,1669.0625,0.03537454
512376,1661.8096,0.023029804
512377,1685.8718,0.041623253
512379,1662.965,0.05218195
512380,1664.5459,0.035314728
512381,1665.2266,0.03575459
512382,1682.6362,0.051616002
512383,1684.5435,0.042699426
512384,1687.7839,0.05865282
512385,1686.5166,0.041860517
512386,1694.9219,0.037029855
512387,1658.6455,0.15418632
512390,1675.5635,0.028773548
512391,1683.9419,0.054433666
512392,1681.5482,0.026672604
512393,1680.7844,0.07105635
512394,1699.8182,0.06441442
512395,1670.8434,0.031944994
512396,1667.1091,0.04437246
512397,1661.9486,0.05905949
512398,1660.7013,0.044185337
512399,1696.3816,0.041444637
512402,1665.8318,0.06635593
512403,1677.0181,0.039655562
512405,1685.2628,0.03870832
512407,1679.0844,0.071078904
512408,1688.7291,0.043527942
512409,1678.4183,0.053906932
512410,1683.2334,0.045425665
512411,1662.9242,0.08924981
512412,1676.2922,0.04250235
512413,1676.4562,0.056970328
512414,1672.1301,0.050782837
512415,1687.1243,0.054629665
512416,1680.0245,0.08663874
512417,1671.8442,0.053524397
512418,1674.2167,0.026141291
512419,1678.7845,0.062382534
512420,1676.7634,0.054435734
512421,1665.1854,0.095303945
512422,1652.572,0.03736666
512423,1656.1891,0.05581121
512424,1662.2098,0.07009898
512425,1670.4968,0.09116968
512426,1667.6377,0.0284077
512427,1691.1044,0.03795498
512428,1669.7008,0.037523646
512430,1636.7917,0.21902257
512431,1671.2827,0.04546799
512432,1670.8177,0.039260283
512433,1679.1785,0.035349432
512434,1669.4216,0.061629422
512435,1644.5513,0.03134022
512436,1644.3318,0.009871579
512437,1669.0713,0.033743303
512438,1654.8123,0.048380587
512440,1686.6202,0.054132015
512442,1663.5869,0.04098176
512443,1674.9456,0.045635097
512444,1651.4625,0.03897799
512448,1671.8668,0.042663574
512449,1663.4869,0.042601347
512450,1672.4559,0.031852867
512451,1666.3185,0.053743184
512452,1660.0631,0.0400565
512453,1657.7236,0.03215791
512454,1659.3562,0.052659083
512455,1664.7405,0.044370703
512456,1661.2683,0.02709527
512461,1691.6942,0.04164105
512462,1690.1879,0.029974941
512464,1662.4579,0.0345857
512469,1678.1284,0.06911032
512471,1676.352,0.041742045
512473,1677.7717,0.04964255
512474,1675.4832,0.112782724
512477,1674.6134,0.0447049
512481,1657.6178,0.073047645
512482,1654.8959,0.05757509
512485,1662.7402,0.0636156
512489,1670.07,0.06248104
512490,1682.831,0.05481582
512491,1675.9814,0.056115232
512492,1665.1255,0.040500462
512494,1643.2623,0.05133597
512496,1690.3513,0.06280316
512497,1680.5206,0.090066165
512499,1678.7697,0.06982716
512500,1684.9247,0.06462089
512501,1681.9852,0.03914533
512502,1693.6047,0.059406392
512503,1664.8798,0.063800335
512504,1673.9985,0.059399933
512505,1675.8901,0.053832825
512506,1680.5985,0.05216825
512507,1694.8807,0.07813743
512508,1684.0095,0.041573267
512509,1689.0911,0.06604733
512511,1681.3337,0.054214455
512512,1695.3705,0.04074468
512513,1697.349,0.064315714
512514,1683.2666,0.069903105
512515,1706.871,0.049055435
512516,1686.8684,0.0758378
512517,1686.1802,0.05273712
512518,1665.3153,0.050304566
512519,1678.3158,0.057115097
512520,1668.3053,0.05763487
512521,1677.0128,0.065407515
512522,1658.827,0.06831347
